temp_order	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
9165	GO:0034363	1.73055448124617e-09	0.999999999998605	4	5	intermediate-density lipoprotein particle	CC
9163	GO:0034361	2.79665932490501e-09	0.999999999983222	5	14	very-low-density lipoprotein particle	CC
9185	GO:0034385	2.79665932490501e-09	0.999999999983222	5	14	triglyceride-rich plasma lipoprotein particle	CC
10634	GO:0042627	2.36275487044951e-08	0.999999999921943	4	8	chylomicron	CC
2012	GO:0004497	3.64148360340436e-08	0.999999998778987	7	79	monooxygenase activity	MF
5920	GO:0016713	3.79174220168611e-08	0.999999999847614	4	9	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen	MF
3908	GO:0008202	4.47979536081986e-08	0.999999996738459	10	236	steroid metabolic process	BP
9161	GO:0034358	1.03740534077676e-07	0.999999998458812	5	27	plasma lipoprotein particle	CC
21059	GO:1990777	1.03740534077676e-07	0.999999998458812	5	27	lipoprotein particle	CC
6649	GO:0020037	1.08502427551185e-07	0.999999995676599	7	93	heme binding	MF
3267	GO:0006629	1.37562139659016e-07	0.999999976593007	18	1043	lipid metabolic process	BP
8650	GO:0032994	1.49383212925228e-07	0.999999997585759	5	29	protein-lipid complex	CC
12469	GO:0046906	1.89904265926847e-07	0.999999991736338	7	101	tetrapyrrole binding	MF
2626	GO:0005615	2.94940574902933e-07	0.999999949550694	17	975	extracellular space	CC
2604	GO:0005576	3.81100764065837e-07	0.999999921264407	21	1516	extracellular region	CC
6454	GO:0019433	4.8297995107056e-07	0.99999999545503	4	16	triglyceride catabolic process	BP
5591	GO:0016042	5.9381027796027e-07	0.999999950735385	9	238	lipid catabolic process	BP
5499	GO:0015850	8.88838948311435e-07	0.999999936402114	8	187	organic hydroxy compound transport	BP
9168	GO:0034366	9.24253904991388e-07	0.999999997965661	3	5	spherical high-density lipoprotein particle	CC
3319	GO:0006694	9.54917557073769e-07	0.999999946516966	7	126	steroid biosynthetic process	BP
13381	GO:0050994	1.13132926380052e-06	0.999999971074428	5	45	regulation of lipid catabolic process	BP
7088	GO:0030141	1.20534568450896e-06	0.999999890710004	9	261	secretory granule	CC
3420	GO:0006869	1.24356812358381e-06	0.999999886776076	9	265	lipid transport	BP
4902	GO:0010817	1.37695829237055e-06	0.999999831574107	11	434	regulation of hormone levels	BP
3916	GO:0008211	1.47635583921388e-06	0.999999980609323	4	21	glucocorticoid metabolic process	BP
5914	GO:0016705	1.61407640201403e-06	0.999999901794739	7	138	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF
11343	GO:0044281	1.65073231570954e-06	0.999999635584402	20	1489	small molecule metabolic process	BP
17287	GO:0097006	2.33849444195342e-06	0.999999929854601	5	52	regulation of plasma lipoprotein particle levels	BP
8003	GO:0031983	2.51937742218729e-06	0.999999989782844	3	7	vesicle lumen	CC
12254	GO:0046461	2.74958599114913e-06	0.9999999569006	4	24	neutral lipid catabolic process	BP
12257	GO:0046464	2.74958599114913e-06	0.9999999569006	4	24	acylglycerol catabolic process	BP
14193	GO:0055102	3.1939211803021e-06	0.999999985973358	3	7	lipase inhibitor activity	MF
4953	GO:0010876	3.28176963147688e-06	0.999999662252581	9	298	lipid localization	BP
4025	GO:0008395	3.74113467506416e-06	0.999999935949232	4	26	steroid hydroxylase activity	MF
11425	GO:0044421	3.77599104086143e-06	0.999999212820087	17	1177	extracellular region part	CC
4148	GO:0008610	4.33992110683238e-06	0.999999399374726	11	482	lipid biosynthetic process	BP
10534	GO:0042445	5.20649056520105e-06	0.999999618999802	7	164	hormone metabolic process	BP
11325	GO:0044242	5.34761517009951e-06	0.999999607049084	7	164	cellular lipid catabolic process	BP
14201	GO:0055114	5.77800975261772e-06	0.999998941091443	14	812	oxidation-reduction process	BP
5631	GO:0016125	6.71042536372125e-06	0.99999961825896	6	111	sterol metabolic process	BP
3912	GO:0008207	8.44227051845122e-06	0.999999818242342	4	32	C21-steroid hormone metabolic process	BP
10893	GO:0043178	8.72865364787958e-06	0.999999650788175	5	68	alcohol binding	MF
2517	GO:0005319	9.22241873198031e-06	0.999999443455882	6	121	lipid transporter activity	MF
17927	GO:0098992	9.44824915868301e-06	0.999999928799696	3	11	neuronal dense core vesicle	CC
11981	GO:0045834	1.47078556983347e-05	0.999999033939365	6	128	positive regulation of lipid metabolic process	BP
11329	GO:0044255	1.54078644920496e-05	0.999997104701167	13	782	cellular lipid metabolic process	BP
9371	GO:0034754	1.5521812497641e-05	0.999999296159299	5	76	cellular hormone metabolic process	BP
9164	GO:0034362	1.61600935579607e-05	0.999999850883254	3	12	low-density lipoprotein particle	CC
3275	GO:0006641	1.80798442850034e-05	0.999999151763887	5	80	triglyceride metabolic process	BP
12286	GO:0046503	1.88979044475888e-05	0.999999491711633	4	39	glycerolipid catabolic process	BP
8510	GO:0032787	1.98029209332598e-05	0.99999708369888	10	458	monocarboxylic acid metabolic process	BP
10417	GO:0042221	2.0967436858341e-05	0.999993592421832	27	3009	response to chemical	BP
15683	GO:0070653	2.1501394647864e-05	1	2	2	high-density lipoprotein particle receptor binding	MF
6371	GO:0019216	2.2246269047991e-05	0.999997495061464	8	285	regulation of lipid metabolic process	BP
18852	GO:1901615	2.2897479825741e-05	0.999996973717966	9	378	organic hydroxy compound metabolic process	BP
5435	GO:0015721	2.60579272022956e-05	0.999999708147553	3	14	bile acid and bile salt transport	BP
12462	GO:0046890	2.7065879072755e-05	0.999998011765202	6	141	regulation of lipid biosynthetic process	BP
10768	GO:0042953	2.82381393314223e-05	0.99999967094011	3	15	lipoprotein transport	BP
11574	GO:0044872	2.82381393314223e-05	0.99999967094011	3	15	lipoprotein localization	BP
9170	GO:0034368	3.22693329399083e-05	0.999999606621175	3	15	protein-lipid complex remodeling	BP
9171	GO:0034369	3.22693329399083e-05	0.999999606621175	3	15	plasma lipoprotein particle remodeling	BP
6134	GO:0017127	3.71065548746684e-05	0.999999520674145	3	16	cholesterol transporter activity	MF
9166	GO:0034364	3.86233282936319e-05	0.999999499659075	3	15	high-density lipoprotein particle	CC
3323	GO:0006700	4.05982877832721e-05	0.999999454331976	3	17	C21-steroid hormone biosynthetic process	BP
3962	GO:0008289	4.26186331877031e-05	0.999992396737761	11	621	lipid binding	MF
9169	GO:0034367	4.58376516759088e-05	0.999999358078784	3	17	protein-containing complex remodeling	BP
10409	GO:0042180	4.95585079130004e-05	0.999995928519531	6	157	cellular ketone metabolic process	BP
3274	GO:0006639	5.67730127015902e-05	0.999996579959572	5	102	acylglycerol metabolic process	BP
13383	GO:0050996	5.87630647198635e-05	0.999999091058974	3	19	positive regulation of lipid catabolic process	BP
3273	GO:0006638	5.96715423367843e-05	0.999996366025293	5	103	neutral lipid metabolic process	BP
4983	GO:0010915	6.58126507776961e-05	0.999999899200048	2	3	regulation of very-low-density lipoprotein particle clearance	BP
4984	GO:0010916	6.58126507776961e-05	0.999999899200048	2	3	negative regulation of very-low-density lipoprotein particle clearance	BP
3909	GO:0008203	6.62332465496355e-05	0.999995876973142	5	102	cholesterol metabolic process	BP
2898	GO:0006066	7.11670463703095e-05	0.99999207192665	7	248	alcohol metabolic process	BP
10535	GO:0042446	7.15207200785866e-05	0.999997236166589	4	53	hormone biosynthetic process	BP
5803	GO:0016491	7.19356946787992e-05	0.999986375108182	11	641	oxidoreductase activity	MF
19252	GO:1902652	7.99298686665116e-05	0.999994814959749	5	106	secondary alcohol metabolic process	BP
12161	GO:0046165	8.00252663783967e-05	0.999994806078522	5	107	alcohol biosynthetic process	BP
18041	GO:0099503	8.18536772643178e-05	0.999987192076898	9	444	secretory vesicle	CC
18854	GO:1901617	8.84072411793788e-05	0.999991907806646	6	177	organic hydroxy compound biosynthetic process	BP
12694	GO:0048037	0.000106232715116647	0.999982786477703	9	449	cofactor binding	MF
11051	GO:0043436	0.000106497786317252	0.999977206255413	12	799	oxoacid metabolic process	BP
7521	GO:0031045	0.000129115857662836	0.999997311671157	3	25	dense core granule	CC
2906	GO:0006082	0.000129928315600397	0.99997157528787	12	816	organic acid metabolic process	BP
5537	GO:0015918	0.000140809931904306	0.999993447340427	4	65	sterol transport	BP
7200	GO:0030301	0.000140809931904306	0.999993447340427	4	65	cholesterol transport	BP
3276	GO:0006642	0.000144064651137014	0.999999463008101	2	5	triglyceride mobilization	BP
2574	GO:0005506	0.000148063245584703	0.999988995880895	5	122	iron ion binding	MF
15497	GO:0070325	0.000172110684102945	0.999996033771267	3	26	lipoprotein particle receptor binding	MF
6282	GO:0018685	0.000180016746008851	0.999999249411331	2	5	alkane 1-monooxygenase activity	MF
9386	GO:0034774	0.000181993634235542	0.999999236985853	2	5	secretory granule lumen	CC
14354	GO:0060205	0.000181993634235542	0.999999236985853	2	5	cytoplasmic vesicle lumen	CC
16309	GO:0071827	0.00018507296207497	0.999995613911881	3	27	plasma lipoprotein particle organization	BP
9222	GO:0034447	0.000194637679077114	0.99999915591376	2	5	very-low-density lipoprotein particle clearance	BP
5317	GO:0015248	0.000200861115186967	0.999995090195028	3	28	sterol transporter activity	MF
9181	GO:0034381	0.000254256968513719	0.999993227470459	3	30	plasma lipoprotein particle clearance	BP
14185	GO:0055090	0.000255355516859373	0.999993205577315	3	29	acylglycerol homeostasis	BP
15500	GO:0070328	0.000255355516859373	0.999993205577315	3	29	triglyceride homeostasis	BP
15309	GO:0065008	0.000267143622795085	0.999904093429982	26	3292	regulation of biological quality	BP
4900	GO:0010815	0.000277900875871834	0.999998430770854	2	6	bradykinin catabolic process	BP
16307	GO:0071825	0.00028058492880945	0.999992251341956	3	31	protein-lipid complex subunit organization	BP
6528	GO:0019752	0.000303210401437919	0.999931943970211	11	760	carboxylic acid metabolic process	BP
12461	GO:0046889	0.000307546473139426	0.999982314172148	4	77	positive regulation of lipid biosynthetic process	BP
8940	GO:0033700	0.000344460295499541	0.999997710912228	2	7	phospholipid efflux	BP
13063	GO:0048878	0.000363312404105504	0.999910756998458	12	942	chemical homeostasis	BP
9175	GO:0034374	0.000380779094739525	0.999997338349767	2	7	low-density lipoprotein particle remodeling	BP
8819	GO:0033344	0.000389882108671473	0.999987849151468	3	35	cholesterol efflux	BP
12029	GO:0045923	0.000402015109214471	0.999987338401892	3	35	positive regulation of fatty acid metabolic process	BP
2568	GO:0005496	0.000403181007783294	0.999975030524676	4	83	steroid binding	MF
5381	GO:0015485	0.000421313440270061	0.999986515004366	3	35	cholesterol binding	MF
5037	GO:0010985	0.000441227109639537	0.99999654828896	2	8	negative regulation of lipoprotein particle clearance	BP
11345	GO:0044283	0.0004740557829681	0.999905561488262	9	550	small molecule biosynthetic process	BP
9184	GO:0034384	0.000508699557935341	0.999995724069674	2	8	high-density lipoprotein particle clearance	BP
4971	GO:0010896	0.00063788329852912	0.999993816311004	2	9	regulation of triglyceride catabolic process	BP
13335	GO:0050900	0.000638799480913897	0.999914840187449	6	255	leukocyte migration	BP
9039	GO:0034115	0.000639537745558602	0.99999379214966	2	9	negative regulation of heterotypic cell-cell adhesion	BP
15656	GO:0070587	0.000639537745558602	0.99999379214966	2	9	regulation of cell-cell adhesion involved in gastrulation	BP
8609	GO:0032934	0.000657451516508484	0.999975248042177	3	41	sterol binding	MF
8013	GO:0032000	0.0006619596502588	0.999993317616832	2	10	positive regulation of fatty acid beta-oxidation	BP
10684	GO:0042737	0.00067863728009237	0.999951552076602	4	93	drug catabolic process	BP
15655	GO:0070586	0.000804491520117433	0.999991036948133	2	10	cell-cell adhesion involved in gastrulation	BP
3328	GO:0006705	0.000839427664796964	0.999990277708135	2	11	mineralocorticoid biosynthetic process	BP
13389	GO:0051004	0.000851776580938161	0.999990231787311	2	10	regulation of lipoprotein lipase activity	BP
2265	GO:0004857	0.000868177642347198	0.999877158965646	6	265	enzyme inhibitor activity	MF
4023	GO:0008391	0.000912050068981429	0.999988983410097	2	11	arachidonic acid monooxygenase activity	MF
4608	GO:0010035	0.000953323870402439	0.999835660469129	7	383	response to inorganic substance	BP
3917	GO:0008212	0.000985918208644435	0.999987436676342	2	12	mineralocorticoid metabolic process	BP
4744	GO:0010565	0.000997781149656651	0.999920713438892	4	107	regulation of cellular ketone metabolic process	BP
15794	GO:0070887	0.00105754082737117	0.999621991683317	19	2219	cellular response to chemical stimulus	BP
7049	GO:0030061	0.00109063240199673	0.999985372954865	2	12	mitochondrial crista	CC
5257	GO:0015125	0.00109896318515112	0.999985204261503	2	12	bile acid transmembrane transporter activity	MF
13333	GO:0050896	0.00117066083698326	0.99950759866465	38	6223	response to stimulus	BP
3327	GO:0006704	0.00118119314880061	0.999983311227126	2	13	glucocorticoid biosynthetic process	BP
5434	GO:0015718	0.00125599763521674	0.999893631389718	4	114	monocarboxylic acid transport	BP
14183	GO:0055088	0.00132607356790701	0.999885987326603	4	116	lipid homeostasis	BP
490	GO:0001540	0.00132794342174152	0.999935401784643	3	54	amyloid-beta binding	MF
14351	GO:0060192	0.00141292408827264	0.999978137320938	2	13	negative regulation of lipase activity	BP
15291	GO:0062012	0.00142291509506328	0.999778039148623	6	296	regulation of small molecule metabolic process	BP
12867	GO:0048518	0.00160881126523855	0.999311513492378	32	4947	positive regulation of biological process	BP
12473	GO:0046914	0.00164900159993669	0.9995728843605	10	812	transition metal ion binding	MF
3268	GO:0006631	0.00168129537691264	0.999728901633901	6	303	fatty acid metabolic process	BP
15292	GO:0062013	0.00173678909591594	0.999839064977048	4	124	positive regulation of small molecule metabolic process	BP
13362	GO:0050930	0.00182386604971269	0.9999672786661	2	15	induction of positive chemotaxis	BP
18836	GO:1901575	0.00199942061737886	0.999318235519393	15	1604	organic substance catabolic process	BP
14350	GO:0060191	0.00211619562863998	0.999878286174242	3	61	regulation of lipase activity	BP
5036	GO:0010984	0.00221493995768142	0.999955532524181	2	17	regulation of lipoprotein particle clearance	BP
3393	GO:0006820	0.00224450424211519	0.999549866041429	7	446	anion transport	BP
17428	GO:0097242	0.00225967193631975	0.99995391453639	2	18	amyloid-beta clearance	BP
12192	GO:0046321	0.00236602407945664	0.999950600793719	2	18	positive regulation of fatty acid oxidation	BP
5432	GO:0015711	0.00255828202725391	0.99955107066034	6	337	organic anion transport	BP
17378	GO:0097164	0.00257143965305969	0.999734072899178	4	138	ammonium ion metabolic process	BP
6143	GO:0017144	0.00259214435061207	0.999398536644517	8	563	drug metabolic process	BP
8011	GO:0031998	0.00259939235499836	0.999942779503506	2	19	regulation of fatty acid beta-oxidation	BP
9038	GO:0034114	0.00264681082986707	0.999941484366527	2	18	regulation of heterotypic cell-cell adhesion	BP
2721	GO:0005782	0.00270906600206203	0.999939392902122	2	18	peroxisomal matrix	CC
7965	GO:0031907	0.00270906600206203	0.999939392902122	2	18	microbody lumen	CC
9183	GO:0034383	0.00296092067867327	0.999930032311978	2	20	low-density lipoprotein particle clearance	BP
1407	GO:0003084	0.00300635771905941	0.999928403536714	2	20	positive regulation of systemic arterial blood pressure	BP
16256	GO:0071704	0.00301113545515992	0.998690377176691	45	8155	organic substance metabolic process	BP
11322	GO:0044237	0.003409055471823	0.998490482920406	44	7935	cellular metabolic process	BP
10638	GO:0042632	0.00341238309706691	0.999766395174814	3	73	cholesterol homeostasis	BP
9162	GO:0034359	0.00350046891834145	1	1	1	mature chylomicron	CC
15267	GO:0061886	0.00350046891834145	1	1	1	negative regulation of mini excitatory postsynaptic potential	BP
17735	GO:0098695	0.00350046891834145	1	1	1	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	MF
19568	GO:1903353	0.00350046891834145	1	1	1	regulation of nucleus organization	BP
14187	GO:0055092	0.00353256835592887	0.999755086665774	3	74	sterol homeostasis	BP
6372	GO:0019217	0.00354991105755106	0.999753545965362	3	73	regulation of fatty acid metabolic process	BP
6945	GO:0022600	0.00356829594665824	0.999751635082047	3	75	digestive system process	BP
