temp_order	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
603	GO:0001735	0.000999000999000999	1	1	2	prenylcysteine oxidase activity	MF
1397	GO:0003009	0.000999000999000999	1	3	28	skeletal muscle contraction	BP
1400	GO:0003012	0.000999000999000999	1	4	336	muscle system process	BP
2806	GO:0005865	0.000999000999000999	1	2	25	striated muscle thin filament	CC
3505	GO:0006941	0.000999000999000999	1	3	127	striated muscle contraction	BP
3954	GO:0008211	0.000999000999000999	1	2	22	glucocorticoid metabolic process	BP
4167	GO:0008555	0.000999000999000999	1	1	1	chloride-transporting ATPase activity	MF
4217	GO:0008700	0.000999000999000999	1	1	1	4-hydroxy-2-oxoglutarate aldolase activity	MF
5878	GO:0016529	0.000999000999000999	1	2	65	sarcoplasmic reticulum	CC
6516	GO:0019470	0.000999000999000999	1	1	1	4-hydroxyproline catabolic process	BP
7078	GO:0030016	0.000999000999000999	1	3	169	myofibril	CC
7079	GO:0030017	0.000999000999000999	1	3	152	sarcomere	CC
7279	GO:0030327	0.000999000999000999	1	1	3	prenylated protein catabolic process	BP
7280	GO:0030328	0.000999000999000999	1	1	2	prenylcysteine catabolic process	BP
7281	GO:0030329	0.000999000999000999	1	1	2	prenylcysteine metabolic process	BP
8724	GO:0032994	0.000999000999000999	1	3	32	protein-lipid complex	CC
8740	GO:0033017	0.000999000999000999	1	2	23	sarcoplasmic reticulum membrane	CC
8966	GO:0033609	0.000999000999000999	1	1	1	oxalate metabolic process	BP
9239	GO:0034358	0.000999000999000999	1	3	30	plasma lipoprotein particle	CC
9241	GO:0034361	0.000999000999000999	1	3	15	very-low-density lipoprotein particle	CC
9244	GO:0034364	0.000999000999000999	1	2	18	high-density lipoprotein particle	CC
9263	GO:0034385	0.000999000999000999	1	3	15	triglyceride-rich plasma lipoprotein particle	CC
10173	GO:0036379	0.000999000999000999	1	2	27	myofilament	CC
10514	GO:0042219	0.000999000999000999	1	2	18	cellular modified amino acid catabolic process	BP
11027	GO:0043225	0.000999000999000999	1	1	1	ATPase-coupled anion transmembrane transporter activity	MF
11071	GO:0043292	0.000999000999000999	1	3	182	contractile fiber	CC
11552	GO:0044449	0.000999000999000999	1	3	164	contractile fiber part	CC
13446	GO:0050879	0.000999000999000999	1	3	44	multicellular organismal movement	BP
13448	GO:0050881	0.000999000999000999	1	3	44	musculoskeletal movement	BP
14318	GO:0055090	0.000999000999000999	1	2	30	acylglycerol homeostasis	BP
15624	GO:0070296	0.000999000999000999	1	2	24	sarcoplasmic reticulum calcium ion transport	BP
