temp_order	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
9241	GO:0034361	7.59983045666276e-07	0.999999997620124	3	15	very-low-density lipoprotein particle	CC
9263	GO:0034385	7.59983045666276e-07	0.999999997620124	3	15	triglyceride-rich plasma lipoprotein particle	CC
1397	GO:0003009	3.90897233236911e-06	0.999999977141034	3	28	skeletal muscle contraction	BP
9239	GO:0034358	6.13003885504989e-06	0.999999958079148	3	30	plasma lipoprotein particle	CC
21251	GO:1990777	6.13003885504989e-06	0.999999958079148	3	30	lipoprotein particle	CC
8724	GO:0032994	7.22000285002136e-06	0.999999947588099	3	32	protein-lipid complex	CC
13446	GO:0050879	1.27743157707678e-05	0.999999885517087	3	44	multicellular organismal movement	BP
13448	GO:0050881	1.27743157707678e-05	0.999999885517087	3	44	musculoskeletal movement	BP
10514	GO:0042219	0.000207722687863267	0.999998818910687	2	18	cellular modified amino acid catabolic process	BP
8740	GO:0033017	0.000219605860264329	0.999998689508473	2	23	sarcoplasmic reticulum membrane	CC
3954	GO:0008211	0.000230523004119861	0.999998594993073	2	22	glucocorticoid metabolic process	BP
9244	GO:0034364	0.00024598283357456	0.999998477182328	2	18	high-density lipoprotein particle	CC
3505	GO:0006941	0.000258260266920369	0.999993381580162	3	127	striated muscle contraction	BP
15624	GO:0070296	0.000276540044603981	0.999998141195162	2	24	sarcoplasmic reticulum calcium ion transport	BP
1400	GO:0003012	0.000280158457248236	0.999985799783076	4	336	muscle system process	BP
2806	GO:0005865	0.000337225181185671	0.999997488224828	2	25	striated muscle thin filament	CC
17124	GO:0090075	0.000344400074668506	0.99999738400402	2	29	relaxation of muscle	BP
10173	GO:0036379	0.000376110706687022	0.999997025842344	2	27	myofilament	CC
7079	GO:0030017	0.000446675330603289	0.999986146969646	3	152	sarcomere	CC
14318	GO:0055090	0.000531823335372569	0.999994961453579	2	30	acylglycerol homeostasis	BP
15644	GO:0070328	0.000531823335372569	0.999994961453579	2	30	triglyceride homeostasis	BP
11552	GO:0044449	0.000549149653970061	0.999981693855711	3	164	contractile fiber part	CC
7078	GO:0030016	0.000616118897607713	0.999978620575135	3	169	myofibril	CC
11071	GO:0043292	0.000767106366437635	0.999971258023077	3	182	contractile fiber	CC
17253	GO:0090257	0.00112599892196318	0.999951714827026	3	211	regulation of muscle system process	BP
11368	GO:0044057	0.0012080103931908	0.999909064494442	4	500	regulation of system process	BP
1396	GO:0003008	0.00136480682689952	0.999822712474937	6	1371	system process	BP
4217	GO:0008700	0.00141411452206678	1	1	1	4-hydroxy-2-oxoglutarate aldolase activity	MF
6516	GO:0019470	0.00141411452206678	1	1	1	4-hydroxyproline catabolic process	BP
8966	GO:0033609	0.00141411452206678	1	1	1	oxalate metabolic process	BP
4167	GO:0008555	0.00143022179605725	1	1	1	chloride-transporting ATPase activity	MF
11027	GO:0043225	0.00143022179605725	1	1	1	ATPase-coupled anion transmembrane transporter activity	MF
13912	GO:0051659	0.00143431507440994	1	1	1	maintenance of mitochondrion location	BP
3501	GO:0006936	0.00156541520291782	0.999924586153376	3	241	muscle contraction	BP
2042	GO:0004507	0.00188627531018569	0.999999162029564	1	2	steroid 11-beta-monooxygenase activity	MF
12756	GO:0047783	0.00188627531018569	0.999999162029564	1	2	corticosterone 18-monooxygenase activity	MF
6669	GO:0019915	0.00196074350373507	0.999963005278794	2	64	lipid storage	BP
5878	GO:0016529	0.00200607108568541	0.999961693027997	2	65	sarcoplasmic reticulum	CC
14596	GO:0060354	0.00207915140592988	0.999998981795101	1	2	negative regulation of cell adhesion molecule production	BP
17125	GO:0090076	0.00213253339909195	0.999998928808972	1	2	relaxation of skeletal muscle	BP
8376	GO:0032470	0.00216055195679412	0.999998900459767	1	2	positive regulation of endoplasmic reticulum calcium ion concentration	BP
2936	GO:0006081	0.0021834694968284	0.999956466613014	2	65	cellular aldehyde metabolic process	BP
7935	GO:0031673	0.00224425062574049	0.999998813565732	1	2	H zone	CC
5295	GO:0015108	0.00225033431757169	0.999954283693281	2	76	chloride transmembrane transporter activity	MF
603	GO:0001735	0.00251643804805018	0.99999850811223	1	2	prenylcysteine oxidase activity	MF
7280	GO:0030328	0.00251643804805018	0.99999850811223	1	2	prenylcysteine catabolic process	BP
7281	GO:0030329	0.00251643804805018	0.99999850811223	1	2	prenylcysteine metabolic process	BP
5877	GO:0016528	0.00256380403570123	0.99994436358332	2	74	sarcoplasm	CC
11154	GO:0043434	0.00269713929986744	0.999842429318987	3	276	response to peptide hormone	BP
13673	GO:0051235	0.00282234427829735	0.999832422310409	3	280	maintenance of location	BP
812	GO:0002017	0.00285367629116404	0.999997441905917	1	3	regulation of blood volume by renal aldosterone	BP
5018	GO:0010901	0.00289641422300858	0.999998023155288	1	2	regulation of very-low-density lipoprotein particle remodeling	BP
5019	GO:0010903	0.00289641422300858	0.999998023155288	1	2	negative regulation of very-low-density lipoprotein particle remodeling	BP
9164	GO:0034191	0.00308484130824004	0.999997010351694	1	3	apolipoprotein A-I receptor binding	MF
5166	GO:0014724	0.00316176856923595	0.999996859271753	1	3	regulation of twitch skeletal muscle contraction	BP
7819	GO:0031446	0.00316176856923595	0.999996859271753	1	3	regulation of fast-twitch skeletal muscle fiber contraction	BP
7820	GO:0031448	0.00316176856923595	0.999996859271753	1	3	positive regulation of fast-twitch skeletal muscle fiber contraction	BP
7279	GO:0030327	0.00327169765618183	0.999996636905658	1	3	prenylated protein catabolic process	BP
4501	GO:0009436	0.003561772063582	0.999996013567601	1	3	glyoxylate catabolic process	BP
4291	GO:0009063	0.00362395361093174	0.999905990321124	2	80	cellular amino acid catabolic process	BP
7816	GO:0031443	0.0038167693551724	0.999994850086552	1	4	fast-twitch skeletal muscle fiber contraction	BP
9245	GO:0034365	0.00402661099131278	0.999994904031055	1	3	discoidal high-density lipoprotein particle	CC
19043	GO:1901652	0.00423292369838821	0.999709310804638	3	324	response to peptide	BP
14502	GO:0060228	0.00426579732173884	0.999994279988655	1	3	phosphatidylcholine-sterol O-acyltransferase activator activity	MF
15833	GO:0070653	0.00441448537487577	0.999993873857352	1	3	high-density lipoprotein particle receptor binding	MF
10733	GO:0042626	0.00481347700620455	0.999854961530633	2	102	ATPase activity, coupled to transmembrane movement of substances	MF
5293	GO:0015103	0.0048976198932663	0.999850928261366	2	111	inorganic anion transmembrane transporter activity	MF
1398	GO:0003010	0.00521476387957524	0.99998974029699	1	5	voluntary skeletal muscle contraction	BP
5164	GO:0014721	0.00521476387957524	0.99998974029699	1	5	twitch skeletal muscle contraction	BP
5417	GO:0015405	0.00527968934003966	0.999833070022293	2	106	P-P-bond-hydrolysis-driven transmembrane transporter activity	MF
5416	GO:0015399	0.00541003745864575	0.999826763690755	2	107	primary active transmembrane transporter activity	MF
3947	GO:0008203	0.00576567505071581	0.999809241689652	2	106	cholesterol metabolic process	BP
1262	GO:0002740	0.00584321121238774	0.999987114991406	1	5	negative regulation of cytokine secretion involved in immune response	BP
19122	GO:1901894	0.005959583053985	0.999986038469531	1	6	regulation of calcium-transporting ATPase activity	BP
12272	GO:0046165	0.00596265205392017	0.999799125579523	2	112	alcohol biosynthetic process	BP
13329	GO:0050713	0.00612362768669745	0.999985258275417	1	6	negative regulation of interleukin-1 beta secretion	BP
11179	GO:0043492	0.00619854092536826	0.999786811434334	2	118	ATPase activity, coupled to movement of substances	MF
19430	GO:1902652	0.00621581267198182	0.9997861057481	2	110	secondary alcohol metabolic process	BP
6044	GO:0016833	0.00624894494464598	0.999985260936466	1	5	oxo-acid-lyase activity	MF
9243	GO:0034363	0.00637894409994655	0.999984640463632	1	5	intermediate-density lipoprotein particle	CC
8391	GO:0032489	0.00647647479174281	0.99998350807023	1	6	regulation of Cdc42 protein signal transduction	BP
5680	GO:0016125	0.00681423622614385	0.999753935870965	2	116	sterol metabolic process	BP
9163	GO:0034190	0.00681799614666995	0.999981720303458	1	6	apolipoprotein receptor binding	MF
7258	GO:0030300	0.0068511219819031	0.99998154199193	1	6	regulation of intestinal cholesterol absorption	BP
14316	GO:0055088	0.00698227889592704	0.999744485304468	2	123	lipid homeostasis	BP
12385	GO:0046487	0.00713257938299973	0.99997999192803	1	6	glyoxylate metabolic process	BP
6079	GO:0016887	0.0071514410714369	0.999405818735884	3	402	ATPase activity	MF
9252	GO:0034372	0.00723564287934034	0.999979408651682	1	6	very-low-density lipoprotein particle remodeling	BP
5010	GO:0010890	0.00731688376581315	0.999978342659702	1	7	positive regulation of sequestering of triglyceride	BP
3502	GO:0006937	0.00752017365729258	0.999713788537801	2	132	regulation of muscle contraction	BP
14595	GO:0060353	0.00758580959522361	0.99997671887078	1	7	regulation of cell adhesion molecule production	BP
49	GO:0000098	0.00768345731679732	0.999976114698377	1	7	sulfur amino acid catabolic process	BP
21004	GO:1905952	0.00776462779516199	0.999699677613322	2	127	regulation of lipid localization	BP
20460	GO:1904729	0.00828025674106267	0.999972253378861	1	7	regulation of intestinal lipid absorption	BP
4993	GO:0010873	0.00836729331328962	0.999971666004446	1	7	positive regulation of cholesterol esterification	BP
9246	GO:0034366	0.00853025245418882	0.999971365664391	1	6	spherical high-density lipoprotein particle	CC
9250	GO:0034370	0.00860854713990477	0.999970005607242	1	7	triglyceride-rich lipoprotein particle remodeling	BP
8265	GO:0032342	0.00879761652230137	0.999967109156098	1	10	aldosterone biosynthetic process	BP
5441	GO:0015629	0.0089054545611871	0.999198058432645	3	436	actin cytoskeleton	CC
14319	GO:0055091	0.00910063202909457	0.999965233577018	1	9	phospholipid homeostasis	BP
14594	GO:0060352	0.00911255479063527	0.999965142258164	1	9	cell adhesion molecule production	BP
