Sample	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Rsem_mqc-generalstats-rsem-alignable_percent	RNA-SeQC_mqc-generalstats-rna_seqc-rRNA_rate	RNA-SeQC_mqc-generalstats-rna_seqc-Genes_Detected	RNA-SeQC_mqc-generalstats-rna_seqc-Expression_Profiling_Efficiency	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
RD001	199	0.938919	86.5887	0.16938	353.82668	86.32	23833704.0		93.0124515414								
RD001.Aligned.sortedByCoord										0.0039851386	22296.0	0.8613424					
RD001_merge_R1													46.0190739377	74.6466752116	27612464.0	9.09090909091	51.0
RD001_merge_R2													41.4295195802	74.5186357147	27612464.0	9.09090909091	52.0
RD002	188	0.913881	86.7694	0.163172	335.540147	84.23	24168558.0		90.0960506046								
RD002.Aligned.sortedByCoord										0.0033311169	22402.0	0.8375605					
RD002_merge_R1													46.5828328968	74.6474465747	28695180.0	9.09090909091	51.0
RD002_merge_R2													35.6859706086	74.5309849598	28695180.0	9.09090909091	53.0
RD003	193	0.913884	87.8482	0.143176	346.979347	84.52	23007685.0		90.283006874								
RD003.Aligned.sortedByCoord										0.0032004258	21938.0	0.8501582					
RD003_merge_R1													44.5576457312	74.6427058717	27220285.0	9.09090909091	50.0
RD003_merge_R2													37.0121701963	74.5259058823	27220285.0	9.09090909091	52.0
RD004	193	0.934263	86.8498	0.165109	343.981671	86.19	23700510.0		92.5211136485								
RD004.Aligned.sortedByCoord										0.002260945	21982.0	0.85812426					
RD004_merge_R1													46.3994032707	74.6467962033	27499342.0	9.09090909091	51.0
RD004_merge_R2													44.6548297902	74.5108328047	27499342.0	9.09090909091	51.0
RD005	194	0.927066	87.6329	0.167139	354.066294	85.74	23366470.0		91.6939538573								
RD005.Aligned.sortedByCoord										0.0032913112	21636.0	0.850019					
RD005_merge_R1													46.4698992381	74.6510171002	27251298.0	9.09090909091	51.0
RD005_merge_R2													43.3315177748	74.5123932445	27251298.0	9.09090909091	52.0
RD006	188	0.943786	87.3913	0.178247	334.142191	87.2	31021026.0		93.6033299928								
RD006.Aligned.sortedByCoord										0.003233076	22813.0	0.86712056					
RD006_merge_R1													48.8549205314	74.6461213362	35574945.0	9.09090909091	51.0
RD006_merge_R2													47.4994150925	74.511076658	35574945.0	9.09090909091	51.0
RD007	190	0.902427	87.0798	0.158952	336.052872	83.09	21737834.0		88.9198282863								
RD007.Aligned.sortedByCoord										0.0028775935	21516.0	0.8278155					
RD007_merge_R1													45.3303219315	74.6471778797	26162138.0	9.09090909091	51.0
RD007_merge_R2													41.349874182	74.5189680599	26162138.0	9.09090909091	52.0
RD008	192	0.923752	87.4221	0.17497	344.540549	85.18	25677887.0		91.3047624935								
RD008.Aligned.sortedByCoord										0.00433121	22060.0	0.8468509					
RD008_merge_R1													46.9401557573	74.6517970293	30143999.0	9.09090909091	51.0
RD008_merge_R2													43.8202319529	74.5142281885	30143999.0	9.09090909091	52.0
RD009	203	0.946135	88.5112	0.18102	385.457236	87.16	25230932.0		93.89595499								
RD009.Aligned.sortedByCoord										0.003096424	22047.0	0.87641436					
RD009_merge_R1													47.1389033882	74.6562354576	28947747.0	9.09090909091	51.0
RD009_merge_R2													44.8793807116	74.5079882037	28947747.0	9.09090909091	52.0
RD010	189	0.937595	84.5275	0.278648	372.154908	85.38	24496988.0		92.8784517617								
RD010.Aligned.sortedByCoord										0.005126797	19826.0	0.8646943					
RD010_merge_R1													55.0225716201	74.6404494844	28690917.0	18.1818181818	51.0
RD010_merge_R2													51.6092023027	74.5122548366	28690917.0	18.1818181818	51.0
RD011	175	0.913842	78.1479	0.281385	279.139769	81.12	24284068.0		90.1248565687								
RD011.Aligned.sortedByCoord										0.008777769	19946.0	0.83396584					
