Sample	PF_HQ_ALIGNED_READS	READS_ALIGNED_IN_PAIRS	MEAN_READ_LENGTH	BAD_CYCLES	PF_INDEL_RATE	PCT_READS_ALIGNED_IN_PAIRS	TOTAL_READS	PCT_CHIMERAS	PF_HQ_ERROR_RATE	PF_ALIGNED_BASES	PCT_PF_READS	PF_READS_IMPROPER_PAIRS	PF_READS	PCT_ADAPTER	PCT_PF_READS_ALIGNED	READ_GROUP	LIBRARY	SAMPLE	PF_NOISE_READS	STRAND_BALANCE	PF_HQ_ALIGNED_Q20_BASES	CATEGORY	PF_HQ_MEDIAN_MISMATCHES	PF_HQ_ALIGNED_BASES	PCT_PF_READS_IMPROPER_PAIRS	PF_MISMATCH_RATE	PF_READS_ALIGNED
RD001	47667408.0	51851746.0	74.582655	0.0	5.4e-05	1.0	55224928.0	0.000944	0.008949	3841129520.0	1.0	0.0	55224928.0	8.5e-05	0.938919				0.0	0.5	3154225274.0	PAIR	0.0	3531374825.0	0.0	0.008996	51851746.0
RD002	48337116.0	52447944.0	74.589216	0.0	5.3e-05	1.0	57390360.0	0.001085	0.011084	3881228832.0	1.0	0.0	57390360.0	8.6e-05	0.913881				0.0	0.5	3107377337.0	PAIR	0.0	3577186747.0	0.0	0.011121	52447944.0
RD003	46015370.0	49752348.0	74.584306	0.0	4.9e-05	1.0	54440570.0	0.001106	0.009513	3686266825.0	1.0	0.0	54440570.0	0.000147	0.913884				0.0	0.5	3013460007.0	PAIR	0.0	3409391403.0	0.0	0.009543	49752348.0
RD004	47401020.0	51383262.0	74.578815	0.0	5.6e-05	1.0	54998684.0	0.001112	0.007602	3808375409.0	1.0	0.0	54998684.0	0.000172	0.934263				0.0	0.5	3184948962.0	PAIR	0.0	3513450894.0	0.0	0.007619	51383262.0
RD005	46732940.0	50527520.0	74.581705	0.0	5.9e-05	1.0	54502596.0	0.001015	0.008187	3743770014.0	1.0	0.0	54502596.0	9.1e-05	0.927066				0.0	0.5	3126644292.0	PAIR	0.0	3462986468.0	0.0	0.008219	50527520.0
RD006	62042052.0	67150276.0	74.578599	0.0	5.7e-05	1.0	71149890.0	0.000964	0.007744	4976057423.0	1.0	0.0	71149890.0	0.000346	0.943786				0.0	0.5	4165901468.0	PAIR	0.0	4597859001.0	0.0	0.007763	67150276.0
RD007	43475668.0	47218846.0	74.583073	0.0	5.8e-05	1.0	52324276.0	0.001098	0.008379	3497822624.0	1.0	0.0	52324276.0	0.000272	0.902427				0.0	0.5	2899757676.0	PAIR	0.0	3220862321.0	0.0	0.008406	47218846.0
RD008	51355774.0	55691188.0	74.583013	0.0	5.6e-05	1.0	60287998.0	0.000961	0.008735	4124709723.0	1.0	0.0	60287998.0	0.000365	0.923752				0.0	0.5	3413892930.0	PAIR	0.0	3803948492.0	0.0	0.008763	55691188.0
RD009	50461864.0	54776970.0	74.582112	0.0	5.1e-05	1.0	57895494.0	0.000947	0.008662	4058786801.0	1.0	0.0	57895494.0	0.000179	0.946135				0.0	0.5	3353187587.0	PAIR	0.0	3739209261.0	0.0	0.008699	54776970.0
RD010	48993976.0	53800920.0	74.576352	0.0	5.7e-05	1.0	57381834.0	0.000944	0.008842	3984463855.0	1.0	0.0	57381834.0	0.000127	0.937595				0.0	0.5	3255276629.0	PAIR	0.0	3628491007.0	0.0	0.008818	53800920.0
RD011	48568136.0	54715960.0	74.570126	0.0	6.1e-05	1.0	59874666.0	0.0009	0.008744	4052918667.0	1.0	0.0	59874666.0	3.9e-05	0.913842				0.0	0.5	3230147266.0	PAIR	0.0	3597460577.0	0.0	0.008645	54715960.0
RD012	45833344.0	50338352.0	74.578027	0.0	6.1e-05	1.0	54893822.0	0.001024	0.008509	3726965564.0	1.0	0.0	54893822.0	0.000421	0.917013				0.0	0.5	3061534241.0	PAIR	0.0	3393731117.0	0.0	0.008488	50338352.0
RD013	56299892.0	64562018.0	74.560338	0.0	5.6e-05	1.0	69080918.0	0.000826	0.007482	4786049431.0	1.0	0.0	69080918.0	0.000205	0.934585				0.0	0.5	3789138495.0	PAIR	0.0	4173296921.0	0.0	0.007355	64562018.0
RD014	48351152.0	53341058.0	74.572385	0.0	5.5e-05	1.0	57374286.0	0.000956	0.008075	3951998840.0	1.0	0.0	57374286.0	0.000197	0.929703				0.0	0.5	3236298457.0	PAIR	0.0	3582322796.0	0.0	0.008042	53341058.0
RD015	51332586.0	57386400.0	74.568497	0.0	6.2e-05	1.0	61095364.0	0.00086	0.007909	4250822494.0	1.0	0.0	61095364.0	0.000204	0.939292				0.0	0.5	3445169248.0	PAIR	0.0	3802434601.0	0.0	0.007826	57386400.0
RD016	49229354.0	55054644.0	74.567301	0.0	6e-05	1.0	58304702.0	0.001015	0.007863	4080099472.0	1.0	0.0	58304702.0	0.000183	0.944257				0.0	0.5	3305518129.0	PAIR	0.0	3648177986.0	0.0	0.00777	55054644.0
RD017	2484066.0	2769802.0	74.662763	0.0	5.7e-05	1.0	12121874.0	0.0096	0.011077	204047006.0	1.0	0.0	12121874.0	0.000292	0.228496				0.0	0.5	162055119.0	PAIR	0.0	183318742.0	0.0	0.011039	2769802.0
RD018	52209728.0	56079490.0	74.576638	0.0	6.6e-05	1.0	59568156.0	0.000889	0.008377	4156320904.0	1.0	0.0	59568156.0	2.3e-05	0.941434				0.0	0.5	3500469165.0	PAIR	0.0	3869551796.0	0.0	0.008366	56079490.0
