Sample	PCT_CODING_BASES	RIBOSOMAL_BASES	PF_NOT_ALIGNED_BASES	PCT_MRNA_BASES	CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	MEDIAN_3PRIME_BIAS	PF_ALIGNED_BASES	LIBRARY	MEDIAN_5PRIME_BIAS	PCT_USABLE_BASES	PF_BASES	READ_GROUP	NUM_UNEXPLAINED_READS	IGNORED_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_R1_TRANSCRIPT_STRAND_READS	SAMPLE	INTERGENIC_BASES	NUM_R1_TRANSCRIPT_STRAND_READS	INTRONIC_BASES	NUM_R2_TRANSCRIPT_STRAND_READS	MEDIAN_5PRIME_TO_3PRIME_BIAS	PCT_INTERGENIC_BASES	PCT_CORRECT_STRAND_READS	INCORRECT_STRAND_READS	CODING_BASES	UTR_BASES	PCT_UTR_BASES
RD001	56.1339		277692258.0	86.5887	42699670.0	0.497936		4.1735	0.302215	3841129520.0		0.2671	80.7508	4118821778.0		90186.0	0.0	99.4592	0.5408		354835774.0	115618.0	160310363.0	21262686.0	0.873338	9.2378	99.4317	244037.0	2156174392.0	1169808991.0	30.4548
RD002	57.4969		399473113.0	86.7694	43420529.0	0.486234		4.0231	0.269284	3881228832.0		0.278594	78.6721	4280701945.0		94162.0	0.0	99.4874	0.5126		357364772.0	111396.0	156144768.0	21619183.0	1.036289	9.2075	99.4648	233624.0	2231586769.0	1136132523.0	29.2725
RD003	57.6448		374145300.0	87.8482	41786643.0	0.488395		3.4459	0.265806	3686266825.0		0.268709	79.7534	4060412125.0		86967.0	0.0	99.5031	0.4969		320923888.0	103919.0	127024682.0	20807812.0	0.940721	8.7059	99.4787	218989.0	2124939826.0	1113378429.0	30.2034
RD004	57.2229		293361243.0	86.8498	42544662.0	0.486802		4.053	0.263047	3808375409.0		0.290644	80.6382	4101736652.0		93095.0	0.0	99.4031	0.5969		346453642.0	127198.0	154354177.0	21182250.0	1.024303	9.0972	99.3803	265298.0	2179264551.0	1128303039.0	29.6269
RD005	57.9441		321126532.0	87.6329	42206715.0	0.501828		3.7646	0.259839	3743770014.0		0.279496	80.7099	4064896546.0		92213.0	0.0	99.3796	0.6204		322058452.0	131176.0	140938450.0	21012436.0	1.024604	8.6025	99.3549	274026.0	2169293740.0	1111479372.0	29.6888
RD006	57.1703		330201692.0	87.3913	55899630.0	0.4912		3.7005	0.268059	4976057423.0		0.28297	81.9531	5306259115.0		119728.0	0.0	99.2743	0.7257		443277391.0	203465.0	184137057.0	27834341.0	1.009399	8.9082	99.2501	422339.0	2844826586.0	1503816389.0	30.221
RD007	56.9281		404682671.0	87.0798	39236383.0	0.487776		3.9757	0.272428	3497822624.0		0.278737	78.0498	3902505295.0		86278.0	0.0	99.4526	0.5474		312862495.0	107502.0	139063002.0	19531782.0	0.981945	8.9445	99.4296	225080.0	1991242890.0	1054654237.0	30.1517
RD008	57.6065		371750792.0	87.4221	46433277.0	0.491143		3.8071	0.259753	4124709723.0		0.28803	80.1944	4496460515.0		106558.0	0.0	99.4463	0.5537		361769581.0	128695.0	157030436.0	23112838.0	1.087888	8.7708	99.4213	270253.0	2376099262.0	1229810444.0	29.8157
RD009	59.5328		259181407.0	88.5112	46263826.0	0.50207		3.4681	0.266538	4058786801.0		0.299467	83.1984	4317968208.0		102576.0	0.0	99.6403	0.3597		325543982.0	83156.0	140760805.0	23033181.0	1.047576	8.0207	99.6141	179240.0	2416308477.0	1176173537.0	28.9785
RD010	58.079		294864005.0	84.5275	43542476.0	0.48616		3.0803	0.256899	3984463855.0		0.338939	78.7032	4279327860.0		102335.0	0.0	99.6675	0.3325		493764449.0	72301.0	122731600.0	21672000.0	1.265959	12.3922	99.6464	154530.0	2314135979.0	1053831827.0	26.4485
RD011	51.4034		411942737.0	78.1479	41039167.0	0.467125		3.5614	0.276532	4052918667.0		0.312279	70.9377	4464861404.0		88776.0	0.0	99.7202	0.2798		741308113.0	57321.0	144339197.0	20431755.0	1.204991	18.2907	99.701	123089.0	2083339470.0	1083931887.0	26.7445
RD012	57.779		366907390.0	83.5999	40247065.0	0.481782		3.7297	0.238473	3726965564.0		0.376921	76.1074	4093872954.0		106454.0	0.0	99.7254	0.2746		472222101.0	55125.0	139004832.0	20022277.0	1.449499	12.6704	99.7026	120041.0	2153403177.0	962335454.0	25.8209
RD013	47.8268		364647135.0	74.0641	45961686.0	0.470501		3.5529	0.260472	4786049431.0		0.296465	68.8207	5150696566.0		92913.0	0.0	99.7315	0.2685		1071260516.0	61617.0	170044134.0	22890062.0	1.166265	22.383	99.7104	133502.0	2289012944.0	1255731837.0	26.2373
RD014	56.2732		326538516.0	82.7139	42285455.0	0.482726		3.2247	0.256887	3951998840.0		0.319303	76.4012	4278537356.0		98274.0	0.0	99.7139	0.2861		555707572.0	60380.0	127438860.0	21047735.0	1.223156	14.0614	99.6914	130910.0	2223917265.0	1044935143.0	26.4407
RD015	52.0351		304966949.0	79.1105	43541846.0	0.477088		3.727	0.270244	4250822494.0		0.317617	73.8148	4555789443.0		98524.0	0.0	99.7545	0.2455		729548321.0	53334.0	158426346.0	21674290.0	1.188153	17.1625	99.733	116575.0	2211918889.0	1150928938.0	27.0754
RD016	52.9026		267524815.0	80.3778	42381150.0	0.468715		2.8368	0.282258	4080099472.0		0.316585	75.4319	4347624287.0		95438.0	0.0	99.7329	0.2671		684861258.0	56485.0	115744720.0	21094976.0	1.127288	16.7854	99.7117	122554.0	2158478393.0	1121015101.0	27.4752
RD017	51.4104		701005604.0	82.1727	2173824.0	0.550982		2.5703	0.322611	204047006.0		0.253695	18.5261	905052610.0		16573.0	0.0	99.7826	0.2174		31131449.0	2343.0	5244690.0	1075396.0	0.553383	15.257	99.7573	5289.0	104901470.0	62769397.0	30.7622
RD018	56.711		286071902.0	89.5005	48273707.0	0.491933		2.7889	0.302391	4156320904.0		0.231962	83.737	4442392806.0		102720.0	0.0	99.8094	0.1906		320480196.0	45885.0	115914341.0	24032492.0	0.759902	7.7107	99.7927	100277.0	2357093120.0	1362833247.0	32.7894
RD019	56.2439		325710296.0	88.6304	43501723.0	0.489701		2.7919	0.302079	3781357244.0		0.235853	81.6016	4107067540.0		90717.0	0.0	99.8068	0.1932		324352612.0	41920.0	105571064.0	21658527.0	0.784355	8.5777	99.7891	91936.0	2126782342.0	1224651226.0	32.3866
RD020	55.1052		298016779.0	87.6101	42866318.0	0.486569		3.3556	0.305235	3773253196.0		0.232654	81.1971	4071269975.0		93045.0	0.0	99.8202	0.1798		340886253.0	38445.0	126615664.0	21339399.0	0.759186	9.0343	99.8043	84050.0	2079260287.0	1226490992.0	32.5049
RD021	55.6639		280912379.0	88.9354	40903168.0	0.518713		3.5046	0.32945	3549553078.0		0.211252	82.4132	3830465457.0		87538.0	0.0	99.8223	0.1777		268346885.0	36242.0	124396202.0	20362510.0	0.651732	7.56	99.8065	79295.0	1975821316.0	1180988675.0	33.2715
