Sample	sum_pct_n	mean_pct_t	sum_pct_g	sum_pct_a	sum_pct_c	mean_pct_a	sum_pct_t	mean_pct_c	cycle_count	mean_pct_g
RD001_R1	0.073058	24.4005142267	1937.731876	1815.164289	1916.99221	24.20219052	1830.038567	25.5598961333	75	25.8364250133
RD001_R2	1.203038	23.9310722267	2010.184543	1804.977882	1888.804114	24.06637176	1794.830417	25.1840548533	75	26.8024605733
RD002_R1	0.075107	24.4119836933	1934.666481	1814.349439	1920.010192	24.1913258533	1830.898777	25.6001358933	75	25.79555308
RD002_R2	1.215766	23.3937926933	2092.744024	1765.743666	1885.762095	23.54324888	1754.534452	25.1434946	75	27.9032536533
RD003_R1	0.073647	24.59674696	1927.692669	1826.627414	1900.85024	24.3550321867	1844.756022	25.3446698667	75	25.70256892
RD003_R2	1.190194	23.61548532	2084.833841	1788.69705	1854.11751	23.849294	1771.161399	24.7215668	75	27.7977845467
RD004_R1	0.075396	24.3971368267	1934.5091	1813.643276	1921.986967	24.1819103467	1829.785262	25.6264928933	75	25.7934546667
RD004_R2	1.213827	23.9566071333	1998.117811	1821.323436	1882.599384	24.28431248	1796.745535	25.10132512	75	26.6415708133
RD005_R1	0.074257	24.3668067467	1934.161741	1807.21624	1931.037256	24.0962165333	1827.510506	25.7471634133	75	25.7888232133
RD005_R2	1.206789	23.78597376	2016.994805	1808.681388	1889.168992	24.11575184	1783.948032	25.1889198933	75	26.8932640667
RD006_R1	0.075322	24.36162108	1933.675632	1813.030144	1926.09733	24.1737352533	1827.121581	25.6812977333	75	25.78234176
RD006_R2	1.198392	24.0636535733	1980.478819	1820.607283	1892.941485	24.2747637733	1804.774018	25.2392198	75	26.4063842533
RD007_R1	0.074046	24.37506948	1944.210285	1806.233836	1921.351625	24.0831178133	1828.130211	25.6180216667	75	25.9228038
RD007_R2	1.20461	23.4934699067	2075.431023	1797.471702	1863.882418	23.96628936	1762.010243	24.8517655733	75	27.67241364
RD008_R1	0.072492	24.1977852933	1953.990889	1796.633511	1934.469208	23.95511348	1814.833897	25.7929227733	75	26.0532118533
RD008_R2	1.197251	23.6555406	2036.912265	1795.050576	1892.674372	23.93400768	1774.165545	25.2356582933	75	27.1588302
RD009_R1	0.07307	24.1828272933	1950.239983	1799.924592	1936.050304	23.99899456	1813.712047	25.8140040533	75	26.0031997733
RD009_R2	1.18622	23.8015324	2006.279878	1795.148822	1912.270155	23.9353176267	1785.11493	25.4969354	75	26.7503983733
RD010_R1	0.073175	24.5583926533	1922.886375	1815.190186	1919.970807	24.2025358133	1841.879449	25.59961076	75	25.638485
RD010_R2	1.204072	24.0396104933	1991.387318	1815.394846	1889.042985	24.2052646133	1802.970787	25.1872398	75	26.5518309067
RD011_R1	0.073586	25.1997217067	1878.208357	1859.617148	1872.121782	24.7948953067	1889.979128	24.96162376	75	25.0427780933
RD011_R2	1.193647	24.4336650267	1989.763667	1861.251165	1815.266646	24.8166822	1832.524877	24.20355528	75	26.5301822267
RD012_R1	0.073113	24.31848148	1943.731195	1798.718298	1933.591275	23.98291064	1823.886111	25.781217	75	25.9164159333
RD012_R2	1.197513	23.6298059333	2034.870516	1802.754204	1888.94233	24.03672272	1772.235445	25.1858977333	75	27.13160688
RD013_R1	0.075985	25.5611514133	1840.067623	1900.858945	1841.911097	25.3447859333	1917.086356	24.5588146267	75	24.5342349733
RD013_R2	1.227987	25.20445032	1891.026641	1922.575862	1794.835739	25.6343448267	1890.333774	23.9311431867	75	25.2136885467
RD014_R1	0.076257	24.8106777733	1899.328687	1833.040116	1906.754104	24.44053488	1860.800833	25.4233880533	75	25.3243824933
RD014_R2	1.210627	24.2067851067	1977.70083	1838.111938	1867.467716	24.5081591733	1815.508883	24.8995695467	75	26.3693444
RD015_R1	0.075676	25.0271932933	1883.694008	1852.158874	1887.031941	24.6954516533	1877.039497	25.16042588	75	25.1159201067
RD015_R2	1.202442	24.7033241867	1931.231295	1866.525347	1848.291595	24.8870046267	1852.749314	24.6438879333	75	25.7497506
RD016_R1	0.074156	24.9384510667	1902.732796	1844.137955	1882.671261	24.5885060667	1870.38383	25.10228348	75	25.3697706133
RD016_R2	1.199445	24.6638830533	1939.097458	1863.28375	1846.628124	24.8437833333	1849.791229	24.62170832	75	25.8546327733
RD017_R1	0.070176	23.63562804	2294.930674	1670.884143	1761.442878	22.27845524	1772.672103	23.48590504	75	30.5990756533
RD017_R2	1.155634	12.44016948	4182.11164	1305.852897	1077.867124	17.41137196	933.012711	14.3715616533	75	55.7614885333
RD018_R1	0.075726	24.3853218	1919.932328	1836.72562	1914.367185	24.4896749333	1828.899135	25.5248958	75	25.5990977067
RD018_R2	1.222299	23.9885333467	1976.021932	1840.43873	1883.177039	24.5391830667	1799.140001	25.1090271867	75	26.3469590933
RD019_R1	0.07483	24.655771	1907.127018	1848.587621	1895.027714	24.6478349467	1849.182825	25.2670361867	75	25.42836024
RD019_R2	1.199197	24.0080709867	2001.331381	1841.762262	1855.101833	24.55683016	1800.605324	24.7346911067	75	26.6844184133
RD020_R1	0.072841	24.49921288	1912.497721	1843.113269	1906.875198	24.5748435867	1837.440966	25.42500264	75	25.4999696133
RD020_R2	1.191348	24.0166486533	1986.11012	1838.672328	1872.777559	24.51563104	1801.248649	24.9703674533	75	26.4814682667
RD021_R1	0.073754	24.0982279333	1943.434509	1807.018969	1942.105672	24.0935862533	1807.367095	25.8947422933	75	25.91246012
RD021_R2	1.215506	23.65804508	2005.592574	1806.394353	1912.444181	24.08525804	1774.353381	25.4992557467	75	26.74123432
