Sample	UNMAPPED_READS	ESTIMATED_LIBRARY_SIZE	READ_PAIR_OPTICAL_DUPLICATES	READ_PAIRS_EXAMINED	UNPAIRED_READS_EXAMINED	PERCENT_DUPLICATION	LIBRARY	READ_PAIR_DUPLICATES	UNPAIRED_READ_DUPLICATES	SECONDARY_OR_SUPPLEMENTARY_RDS
RD001	3373182.0	68308009.0	56859.0	25925873.0	0.0	0.16938	kp1_axelrod	4391314.0	0.0	6969730.0
RD002	4942416.0	71974799.0	46997.0	26223972.0	0.0	0.163172	kp1_axelrod	4279014.0	0.0	6976898.0
RD003	4688222.0	79249673.0	48955.0	24876174.0	0.0	0.143176	kp1_axelrod	3561680.0	0.0	6080076.0
RD004	3615422.0	69687185.0	55086.0	25691631.0	0.0	0.165109	kp1_axelrod	4241916.0	0.0	6649186.0
RD005	3975076.0	67628127.0	58480.0	25263760.0	0.0	0.167139	kp1_axelrod	4222556.0	0.0	6429930.0
RD006	3999614.0	83435797.0	76375.0	33575138.0	0.0	0.178247	kp1_axelrod	5984673.0	0.0	8577340.0
RD007	5105430.0	66842909.0	47940.0	23609423.0	0.0	0.158952	kp1_axelrod	3752756.0	0.0	6356188.0
RD008	4596810.0	70579051.0	52779.0	27845594.0	0.0	0.17497	kp1_axelrod	4872152.0	0.0	7332210.0
RD009	3118524.0	66754046.0	52600.0	27388485.0	0.0	0.18102	kp1_axelrod	4957866.0	0.0	7347676.0
RD010	3580914.0	38989323.0	54638.0	26900460.0	0.0	0.278648	kp1_axelrod	7495764.0	0.0	6976300.0
RD011	5158706.0	39162528.0	55090.0	27357980.0	0.0	0.281385	kp1_axelrod	7698127.0	0.0	8235028.0
RD012	4555470.0	39170798.0	55362.0	25169176.0	0.0	0.263393	kp1_axelrod	6629390.0	0.0	6788238.0
RD013	4518900.0	40140318.0	78190.0	32281009.0	0.0	0.314	kp1_axelrod	10136251.0	0.0	10577918.0
RD014	4033228.0	39772728.0	60754.0	26670529.0	0.0	0.272558	kp1_axelrod	7269277.0	0.0	7106338.0
RD015	3708964.0	39373641.0	66946.0	28693200.0	0.0	0.29102	kp1_axelrod	8350298.0	0.0	8293782.0
RD016	3250058.0	43904476.0	60664.0	27527322.0	0.0	0.258257	kp1_axelrod	7109113.0	0.0	7784780.0
RD017	9352072.0	2105801.0	2886.0	1384901.0	0.0	0.268273	kp1_axelrod	371532.0	0.0	396982.0
RD018	3488666.0	59632639.0	62787.0	28039745.0	0.0	0.203609	kp1_axelrod	5709143.0	0.0	6187734.0
RD019	4048406.0	58578998.0	52519.0	25511920.0	0.0	0.19064	kp1_axelrod	4863580.0	0.0	5869244.0
RD020	3637318.0	52215313.0	50184.0	25477060.0	0.0	0.209897	kp1_axelrod	5347553.0	0.0	6552484.0
RD021	3423624.0	45484715.0	51800.0	23968249.0	0.0	0.22398	kp1_axelrod	5368398.0	0.0	5782076.0
