Sample	SAMPLE	READ_GROUP	WINDOW_SIZE	READS_USED	GC_NC_40_59	ACCUMULATION_LEVEL	GC_NC_80_100	LIBRARY	ALIGNED_READS	GC_NC_0_19	TOTAL_CLUSTERS	GC_NC_60_79	GC_NC_20_39	GC_DROPOUT	AT_DROPOUT
RD001			100.0	ALL	1.274341	All Reads	4.867003		58821476.0	0.034828	31097329.0	6.59113	0.329531	0.000876	33.757546
RD002			100.0	ALL	1.279634	All Reads	4.531397		59424842.0	0.033832	32183629.0	6.475037	0.328655	0.000869	33.716442
RD003			100.0	ALL	1.27197	All Reads	3.105606		55832424.0	0.034538	30260323.0	6.251216	0.352529	0.001127	32.289911
RD004			100.0	ALL	1.277797	All Reads	4.53362		58032448.0	0.033356	30823935.0	6.566849	0.326328	0.000962	33.746433
RD005			100.0	ALL	1.295993	All Reads	4.666261		56957450.0	0.032458	30466263.0	6.575495	0.300404	0.001005	34.67538
RD006			100.0	ALL	1.270051	All Reads	5.144563		75727616.0	0.032416	39863615.0	6.704538	0.329252	0.000909	33.983544
RD007			100.0	ALL	1.271205	All Reads	5.122793		53575034.0	0.035956	29340232.0	6.640342	0.331035	0.000879	33.731162
RD008			100.0	ALL	1.271731	All Reads	6.367795		63023398.0	0.032495	33810104.0	6.956579	0.312385	0.000611	34.759963
RD009			100.0	ALL	1.292354	All Reads	4.898136		62124646.0	0.031878	32621585.0	6.982871	0.283576	0.000822	35.907516
RD010			100.0	ALL	1.302258	All Reads	3.623337		60777220.0	0.026697	32179067.0	6.117554	0.317082	0.00145	32.624312
RD011			100.0	ALL	1.20966	All Reads	2.620862		62950988.0	0.026505	34054847.0	5.291389	0.491032	0.001714	25.403103
RD012			100.0	ALL	1.297309	All Reads	3.849233		57126590.0	0.024996	30841030.0	6.546759	0.300937	0.001351	34.307117
RD013			100.0	ALL	1.173384	All Reads	2.057533		75139936.0	0.02627	39829418.0	4.574626	0.580273	0.001842	21.094081
RD014			100.0	ALL	1.292455	All Reads	3.824653		60447396.0	0.025999	32240312.0	5.683668	0.353682	0.001458	30.415124
RD015			100.0	ALL	1.235564	All Reads	4.488558		65680182.0	0.026982	34694573.0	5.372751	0.448914	0.001533	26.669517
RD016			100.0	ALL	1.221716	All Reads	3.507175		62839424.0	0.026518	33044741.0	5.655151	0.454058	0.001438	26.99258
RD017			100.0	ALL	1.224694	All Reads	3.750414		3166784.0	0.061584	6259428.0	6.051224	0.428116	0.001169	28.584864
RD018			100.0	ALL	1.285975	All Reads	2.513873		62267224.0	0.03064	32877945.0	6.401306	0.325604	0.001369	34.515599
RD019			100.0	ALL	1.267963	All Reads	2.037304		56893084.0	0.032504	30470745.0	6.032227	0.370767	0.001456	32.231422
RD020			100.0	ALL	1.267428	All Reads	2.664699		57506604.0	0.031138	30571961.0	6.214346	0.361266	0.001411	33.403022
RD021			100.0	ALL	1.29893	All Reads	3.259443		53718574.0	0.028929	28571099.0	6.931732	0.27865	0.001396	37.442245
