Sample	Total Purity Filtered Reads Sequenced	rRNA	End 2 Mapping Rate	Unique Rate of Mapped	Intragenic Rate	Note	Mapped Unique	Intergenic Rate	End 2 % Sense	Genes Detected	End 1 Mapping Rate	Exonic Rate	Mapped Pairs	End 1 Antisense	End 1 Mismatch Rate	Estimated Library Size	Failed Vendor QC Check	End 2 Sense	End 2 Antisense	Fragment Length Mean	Duplication Rate of Mapped	End 2 Mismatch Rate	Intronic Rate	Read Length	Expression Profiling Efficiency	End 1 % Sense	Unpaired Reads	Mapped	Alternative Aligments	Chimeric Pairs	Transcripts Detected	Fragment Length StdDev	Mapped Unique Rate of Total	Split Reads	End 1 Sense	Base Mismatch Rate	Mapping Rate	rRNA rate
RD001.Aligned.sortedByCoord	55224928.0	220079.0	0.9389192	1.0	0.97156256	RD001.Aligned.sortedByCoord	51851746.0	0.028217295	98.52186	22296.0	0.9389192	0.9173765	25920641.0	22661635.0	0.007228737	0.0	0.0	22703045.0	340619.0	116.0	0.0	0.010646279	0.054186027	75.0	0.8613424	1.4690273	0.0	51851746.0	6969730.0	18.0	90578.0	165.0	0.9389192	12107924.0	337869.0	0.008935982	0.9389192	0.0039851386
RD002.Aligned.sortedByCoord	57390360.0	191174.0	0.9138807	1.0	0.9713055	RD002.Aligned.sortedByCoord	52447944.0	0.028443936	98.5452	22402.0	0.9138807	0.9164877	26217815.0	22964578.0	0.006880824	0.0	0.0	22995593.0	339478.0	115.0	0.0	0.015195141	0.05481782	75.0	0.8375605	1.4463089	0.0	52447944.0	6976898.0	16.0	91189.0	162.0	0.9138807	12312788.0	337013.0	0.011034415	0.9138807	0.0033311169
RD003.Aligned.sortedByCoord	54440570.0	174233.0	0.9138837	1.0	0.97778976	RD003.Aligned.sortedByCoord	49752348.0	0.021959707	98.712524	21938.0	0.9138837	0.9302696	24870436.0	22008758.0	0.006982981	0.0	0.0	22040717.0	287469.0	115.0	0.0	0.011982577	0.04752019	75.0	0.8501582	1.2932701	0.0	49752348.0	6080076.0	20.0	89676.0	164.0	0.9138837	11836266.0	288362.0	0.009480602	0.9138837	0.0032004258
RD004.Aligned.sortedByCoord	54998684.0	124349.0	0.9342635	1.0	0.97183824	RD004.Aligned.sortedByCoord	51383262.0	0.027879175	98.55052	21982.0	0.9342635	0.9185034	25685019.0	22550379.0	0.0071554277	0.0	0.0	22577909.0	332073.0	117.0	0.0	0.007989828	0.0533348	75.0	0.85812426	1.4528835	0.0	51383262.0	6649186.0	24.0	90581.0	167.0	0.9342635	12264259.0	332461.0	0.007572234	0.9342635	0.002260945
RD005.Aligned.sortedByCoord	54502596.0	179385.0	0.9270663	1.0	0.9685727	RD005.Aligned.sortedByCoord	50527520.0	0.031182908	98.3819	21636.0	0.9270663	0.9168912	25258151.0	21999856.0	0.007330257	0.0	0.0	22040030.0	362496.0	114.0	0.0	0.0090019405	0.0516815	75.0	0.850019	1.6132227	0.0	50527520.0	6429930.0	14.0	89043.0	169.0	0.9270663	12239875.0	360726.0	0.008165293	0.9270663	0.0032913112
RD006.Aligned.sortedByCoord	71149890.0	230033.0	0.943786	1.0	0.9695616	RD006.Aligned.sortedByCoord	67150276.0	0.030192327	98.24799	22813.0	0.943786	0.91876817	33567601.0	29235215.0	0.0071339104	0.0	0.0	29272949.0	522008.0	152.0	0.0	0.008294325	0.050793406	75.0	0.86712056	1.7438415	0.0	67150276.0	8577340.0	31.0	91951.0	198.0	0.943786	16039591.0	518864.0	0.007713577	0.943786	0.003233076
RD007.Aligned.sortedByCoord	52324276.0	150568.0	0.90242714	1.0	0.97057253	RD007.Aligned.sortedByCoord	47218846.0	0.029175892	98.457344	21516.0	0.90242714	0.9173211	23603910.0	20656184.0	0.007407671	0.0	0.0	20686922.0	324128.0	113.0	0.0	0.009293148	0.053251427	75.0	0.8278155	1.5326936	0.0	47218846.0	6356188.0	20.0	88851.0	163.0	0.90242714	11116720.0	321524.0	0.008349541	0.90242714	0.0028775935
RD008.Aligned.sortedByCoord	60287998.0	261120.0	0.9237524	1.0	0.96909463	RD008.Aligned.sortedByCoord	55691188.0	0.030674081	98.405	22060.0	0.9237524	0.91675085	27839761.0	24237636.0	0.0077607175	0.0	0.0	24275391.0	393470.0	122.0	0.0	0.00964571	0.05234381	75.0	0.8468509	1.571457	0.0	55691188.0	7332210.0	30.0	90108.0	173.0	0.9237524	13360571.0	386965.0	0.008702304	0.9237524	0.00433121
RD009.Aligned.sortedByCoord	57895494.0	179269.0	0.9461352	1.0	0.9741934	RD009.Aligned.sortedByCoord	54776970.0	0.025573138	98.74535	22047.0	0.9461352	0.9263098	27382614.0	24086761.0	0.007516574	0.0	0.0	24125539.0	306538.0	122.0	0.0	0.009771233	0.047883555	75.0	0.87641436	1.2516286	0.0	54776970.0	7347676.0	28.0	89882.0	181.0	0.9461352	13693258.0	305298.0	0.00864275	0.9461352	0.003096424
RD010.Aligned.sortedByCoord	57381834.0	294185.0	0.937595	1.0	0.97059745	RD010.Aligned.sortedByCoord	53800920.0	0.029160878	98.62796	19826.0	0.937595	0.9222471	26894635.0	23126274.0	0.007425061	0.0	0.0	23129483.0	321763.0	110.0	0.0	0.010091801	0.048350327	75.0	0.8646943	1.359858	0.0	53800920.0	6976300.0	2.0	83203.0	159.0	0.937595	13362903.0	318820.0	0.008757247	0.937595	0.005126797
RD011.Aligned.sortedByCoord	59874666.0	525566.0	0.9138416	1.0	0.96668714	RD011.Aligned.sortedByCoord	54715960.0	0.033102535	98.37033	19946.0	0.9138416	0.9125934	27352828.0	23586085.0	0.0074334405	0.0	0.0	23565181.0	390395.0	115.0	0.0	0.009743539	0.05409374	75.0	0.83396584	1.610235	0.0	54715960.0	8235028.0	2.0	83652.0	151.0	0.9138416	11835269.0	386007.0	0.008587694	0.9138416	0.008777769
RD012.Aligned.sortedByCoord	54893822.0	252000.0	0.91701305	1.0	0.96595806	RD012.Aligned.sortedByCoord	50338352.0	0.033811197	98.51519	20007.0	0.91701305	0.9101884	25164162.0	21564017.0	0.0075203683	0.0	0.0	21552801.0	324840.0	113.0	0.0	0.009335627	0.055769645	75.0	0.8346546	1.4717498	0.0	50338352.0	6788238.0	6.0	83725.0	164.0	0.91701305	12618898.0	322109.0	0.008427158	0.91701305	0.0045906804
RD013.Aligned.sortedByCoord	69080918.0	460910.0	0.93458533	1.0	0.9650206	RD013.Aligned.sortedByCoord	64562018.0	0.034771945	98.49611	20349.0	0.93458533	0.91188973	32275087.0	28119509.0	0.006525932	0.0	0.0	28051064.0	428298.0	142.0	0.0	0.008102037	0.0531309	75.0	0.8522388	1.5049617	0.0	64562018.0	10577918.0	9.0	84915.0	171.0	0.93458533	13109653.0	429654.0	0.0073135183	0.93458533	0.0066720303
RD014.Aligned.sortedByCoord	57374286.0	154366.0	0.9297031	1.0	0.969815	RD014.Aligned.sortedByCoord	53341058.0	0.029945489	98.715866	20190.0	0.9297031	0.9200242	26664942.0	23095523.0	0.00695385	0.0	0.0	23095744.0	300438.0	113.0	0.0	0.009029455	0.049790747	75.0	0.8553494	1.2730297	0.0	53341058.0	7106338.0	4.0	84458.0	159.0	0.9297031	12966870.0	297804.0	0.007990786	0.9297031	0.0026905083
RD015.Aligned.sortedByCoord	61095364.0	624823.0	0.9392922	1.0	0.96412927	RD015.Aligned.sortedByCoord	57386400.0	0.03564857	98.265564	20125.0	0.9392922	0.9085408	28687623.0	24535261.0	0.0070873746	0.0	0.0	24521266.0	432814.0	123.0	0.0	0.0084624	0.05558852	75.0	0.85338527	1.6781145	0.0	57386400.0	8293782.0	12.0	84169.0	162.0	0.9392922	12811150.0	418757.0	0.007774397	0.9392922	0.0102270115
RD016.Aligned.sortedByCoord	58304702.0	171090.0	0.9442573	1.0	0.9715777	RD016.Aligned.sortedByCoord	55054644.0	0.028165853	98.783104	20440.0	0.9442573	0.9261371	27521075.0	23872156.0	0.007160771	0.0	0.0	23862891.0	293964.0	120.0	0.0	0.008285924	0.045440655	75.0	0.8745117	1.2126817	0.0	55054644.0	7784780.0	15.0	85691.0	155.0	0.9442573	12242960.0	293047.0	0.0077229207	0.9442573	0.0029344116
RD017.Aligned.sortedByCoord	12121874.0	8178.0	0.2284962	1.0	0.9712315	RD017.Aligned.sortedByCoord	2769802.0	0.028538503	98.49927	14037.0	0.2284962	0.9245661	1384617.0	1199409.0	0.009255958	0.0	0.0	1190795.0	18143.0	105.0	0.0	0.0125585785	0.04666543	75.0	0.21125983	1.0941899	0.0	2769802.0	396982.0	0.0	58211.0	132.0	0.2284962	585438.0	13269.0	0.010906219	0.2284962	0.00067464815
RD018.Aligned.sortedByCoord	59568156.0	226387.0	0.941434	1.0	0.9792837	RD018.Aligned.sortedByCoord	56079490.0	0.020538615	98.35965	19607.0	0.941434	0.9374735	28035022.0	24777017.0	0.007566492	0.0	0.0	24793159.0	413476.0	121.0	0.0	0.009064042	0.04181026	75.0	0.88256943	1.6406591	0.0	56079490.0	6187734.0	8.0	82862.0	160.0	0.941434	13072146.0	413287.0	0.008314573	0.941434	0.0038004701
RD019.Aligned.sortedByCoord	55072246.0	130465.0	0.9264892	1.0	0.9808419	RD019.Aligned.sortedByCoord	51023840.0	0.018984066	98.530655	18862.0	0.9264892	0.93952364	25507840.0	22634497.0	0.007406701	0.0	0.0	22643834.0	337677.0	110.0	0.0	0.009995524	0.041318174	75.0	0.8704585	1.4777534	0.0	51023840.0	5869244.0	14.0	80453.0	151.0	0.9264892	11833943.0	339499.0	0.008700009	0.9264892	0.002368979
RD020.Aligned.sortedByCoord	54591438.0	199701.0	0.93337196	1.0	0.9706283	RD020.Aligned.sortedByCoord	50954120.0	0.029202212	98.18582	19043.0	0.93337196	0.92182773	25473050.0	22237605.0	0.007944637	0.0	0.0	22247360.0	411064.0	107.0	0.0	0.0102168815	0.048800547	75.0	0.8604081	1.816411	0.0	50954120.0	6552484.0	14.0	80855.0	149.0	0.93337196	11504409.0	411399.0	0.009079786	0.93337196	0.003658101
RD021.Aligned.sortedByCoord	51360122.0	156872.0	0.9333408	1.0	0.97253484	RD021.Aligned.sortedByCoord	47936498.0	0.027310006	97.973236	18671.0	0.9333408	0.9224843	23964879.0	20887374.0	0.007837019	0.0	0.0	20907645.0	432513.0	114.0	0.0	0.009918754	0.05005053	75.0	0.86099225	2.0253747	0.0	47936498.0	5782076.0	8.0	79828.0	155.0	0.9333408	10791461.0	431793.0	0.008876856	0.9333408	0.0030543543
