Sample	Multi	Unique	Uncertain	alignable_percent	Alignable	Filtered	Unalignable	Total
RD001	1795263	20655238	14816277	93.0124515414	22450501	0	1686591	24137092
RD002	1766835	20713700	14709051	90.0960506046	22480535	0	2471208	24951743
RD003	1654708	20125012	14353511	90.283006874	21779720	0	2344111	24123831
RD004	1695468	20667679	14732811	92.5211136485	22363147	0	1807711	24170858
RD005	1600085	20341187	14638335	91.6939538573	21941272	0	1987538	23928810
RD006	2176666	27086778	19390557	93.6033299928	29263444	0	1999807	31263251
RD007	1558307	18927565	13572084	88.9198282863	20485872	0	2552715	23038587
RD008	1843953	22290560	16102137	91.3047624935	24134513	0	2298405	26432918
RD009	1844844	22140627	16104901	93.89595499	23985471	0	1559262	25544733
RD010	2162973	21187971	14892127	92.8784517617	23350944	0	1790457	25141401
RD011	2724695	20815603	14594544	90.1248565687	23540298	0	2579353	26119651
RD012	1957844	19616874	13685242	90.450730581	21574718	0	2277735	23852453
RD013	3493389	24405622	16768963	92.5080726102	27899011	0	2259450	30158461
RD014	2201368	20967813	14572206	91.9930500506	23169181	0	2016614	25185795
RD015	2734165	21921018	15321245	93.0045060924	24655183	0	1854482	26509665
RD016	2583507	21512830	14962833	93.6821823538	24096337	0	1625029	25721366
RD017	117665	1053974	725010	20.0359801118	1171639	0	4676036	5847675
RD018	1679435	23102129	16292232	93.4240376489	24781564	0	1744333	26525897
RD019	1675678	20882398	14841523	91.7656007403	22558076	0	2024203	24582279
RD020	1577358	20557271	14450362	92.4074765853	22134629	0	1818659	23953288
RD021	1343598	19515342	13732431	92.4157954507	20858940	0	1711812	22570752
