rna_RD001	rna_RD002	rna_RD003	rna_RD004	rna_RD005	rna_RD006	rna_RD007	rna_RD008	rna_RD009	rna_RD010	rna_RD011	rna_RD012	rna_RD013	rna_RD014	rna_RD015	rna_RD016	rna_RD017	rna_RD018	rna_RD019	rna_RD020	rna_RD021
ENSMUSG00000000001.4	5.17	1.85	6.31	10.53	10.17	7.28	11.22	5.25	3.7	2.96	0.51	3.45	0.99	0.72	0.95	1.93	0	1.26	0	0	0
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.14	2.25	4.82	0	0	2.81	2.68	2.06	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000031.16	198.57	682.17	233.75	392.53	355.42	405.35	270.04	230.86	113.32	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037.16	1.29	0	0	0	0.67	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000049.11	0	9.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056.7	2.1	6.48	1.39	0.91	1.75	2.2	0.97	0.77	0.45	6.03	0	0.5	0.36	0.52	0.35	7.26	0	0.92	0	0	0
ENSMUSG00000000058.6	0.69	7.03	0	0.75	10.28	1.55	2.39	2.53	0.74	5.24	2.96	6.72	5.71	0	0	0	0	0	0	0	0
ENSMUSG00000000078.7	3.19	0.94	0	1.89	5.73	1.52	2.12	2.8	1.41	0	0	0.53	0.38	0.55	0.36	0	0	0	0.54	0	0
ENSMUSG00000000085.16	1.3	8.49	5.17	5.78	1.01	0.83	0	9.29	10.13	1	0	0	4.13	0	0	1.46	0	0	0	1.21	0
ENSMUSG00000000088.7	41.75	15.91	24.24	31.69	42.04	60.31	25.27	67.36	3.98	23.14	35.87	54.53	9.47	36.86	9.1	8.78	0	0	4.99	0	0
ENSMUSG00000000093.6	3.6	4.42	4.52	6.1	5.89	9.58	9.45	5.17	1.1	3.18	2.27	1.23	1.77	3.2	1.69	0.58	0	0.56	1.27	0.64	0
ENSMUSG00000000094.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0	1.17	0.6	0	0.56	1.21	0	0.5	1.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.11	0	0	0	0	0.59	0	0	0	0	0.58	0.5	0.68	0	0	0	0	0	0	0	0	0
ENSMUSG00000000127.14	0.81	0	1.37	0.67	0	1.2	0	1.14	0	1.29	0	0.75	0	0	0	0	0	0	0	0	0
ENSMUSG00000000131.15	12.72	9.11	4.34	9.77	10.98	7.13	3.31	9.38	2.26	0	0.82	0	0	2.86	1.89	0	0	0	0	0	0
ENSMUSG00000000134.17	0.97	0.69	0	1.28	2.97	3.19	0.66	3.91	0.62	0	0	0	0.5	5.41	0	0	0	1.56	1.49	2.01	0
ENSMUSG00000000142.15	5.36	1.4	2.94	20.4	6.23	3.05	1.09	1.82	2.89	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000148.17	0.62	0.67	0	0	2.34	1.67	0.65	1.61	0	0	0	0.75	0	0	0	0	0	0	0	0	0
ENSMUSG00000000149.10	6	6.6	1.66	4.82	8.4	10.38	3.56	4.54	3.28	5.22	0.97	0	2.52	0	2.57	5.31	0	0	1.93	0	0
ENSMUSG00000000154.16	1.46	0	0	2.74	2.64	0	0	1.17	0	5.54	3.4	6.16	5.5	6.39	1.2	0	0	0	0	0	0
ENSMUSG00000000157.15	0.74	0	1.62	0	0	0	0	7.25	0.79	1.39	0.65	0.88	4.03	4.42	6.11	0.75	0	0	0.83	0	0
ENSMUSG00000000159.15	1.28	2.2	0	5.51	7.45	9.72	2.89	6.73	6.62	7.77	4.05	0	5.41	9.76	0	0	0	0	0	0	0
ENSMUSG00000000167.14	1.79	0	0	1.93	0	2.42	2.28	1.49	4.28	0	0	0	3.97	0	0	0	0	0	0	0	0
ENSMUSG00000000168.9	5.68	4.74	3.03	6.12	5.69	8.59	12.2	13.1	5.17	3.79	7.66	3.64	9.69	3.64	0.76	3.35	0	1.01	0.57	6.92	0.58
ENSMUSG00000000171.5	11.69	14.29	10.97	23.32	19.06	18.54	11.46	21.28	3.59	10.3	2.95	8.03	0	10.39	2.74	3.75	0	0	2.07	2.07	0
ENSMUSG00000000182.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184.12	8.79	0.93	3.62	2.18	12.14	4.99	1.66	2.11	1.76	1.15	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000194.13	6.18	0.32	0.33	2.96	8.3	3.02	4.46	3.55	0.32	4.02	0	0.36	3.78	3.52	0.88	0.98	0	0	0	0	0
ENSMUSG00000000197.8	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202.9	0	0	0	0.68	4.49	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214.11	0	0	1.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	3.78	3.38	3.46	2.04	3.28	4.69	4.34	4.03	1.35	2.6	1.11	1.51	0	2.35	0	0	0	0	0	0	0
ENSMUSG00000000223.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000244.17	0	0.93	0.95	0.93	2.2	0.64	0	0	1.81	0	0	0	0	1.07	0	0	0	0	0	0	0
ENSMUSG00000000247.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000248.16	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253.13	71.17	76.2	46.8	89.26	38.86	32.14	61.6	45.88	39.68	21.98	30.29	35.44	39.2	45.93	30.25	41.77	74.8	47.91	41.36	51.34	57.32
ENSMUSG00000000263.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0	0.33	0.83	2.44	0.3	0.93	1.01	0.85	0.33	0	0	0.9	0	0	0	0.33	0	0	0	0	0
ENSMUSG00000000275.16	2.65	3.61	1.81	10.05	2.93	3.24	1.51	4.98	1.51	1.02	1.09	1.18	0.28	1.35	0.27	1.58	0	0	0.41	1.74	0
ENSMUSG00000000276.11	0	0	0	0.75	0.59	0.49	0.5	0.48	0.23	0	0	0	0	0	0.47	0	0	0	0	0	0
ENSMUSG00000000278.10	5.53	1.98	9.09	10.91	15.33	10.96	7.4	4.2	4.94	2.85	2.44	2.21	1.58	3.44	1.52	1.03	0	0	2.28	0	0
ENSMUSG00000000282.12	2.78	0.43	4.24	2.74	5.98	2.92	2.77	2.65	0.43	1.24	0	0	0.35	1	0	0.45	0	0.44	0	0	0
ENSMUSG00000000290.13	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000295.13	12.85	10.95	2.97	11.89	10.63	9.46	14.65	4.66	8.2	7.79	2.4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000296.8	13.45	11.91	11.66	5.76	21.3	9.9	5.87	0	4.08	2.64	2.37	16.22	3.25	6.4	0	3.03	0	0	0	3.34	0
ENSMUSG00000000301.16	0	0	0	0	12.43	0	0	6.12	0	0	0	0	0	0	0	0	0	0	0	0	0
