Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
RD001_merge_R1	pass	0.0	warn	74.6466752116	Sanger / Illumina 1.9	pass	warn	63-75	Conventional base calls	pass	pass	27612464.0	pass	fail	pass	51.0	53.9809260623	RD001_merge_R1.fastq.gz	pass	pass
RD001_merge_R2	pass	0.0	warn	74.5186357147	Sanger / Illumina 1.9	pass	warn	59-75	Conventional base calls	pass	warn	27612464.0	pass	fail	warn	52.0	58.5704804198	RD001_merge_R2.fastq.gz	pass	pass
RD002_merge_R1	pass	0.0	warn	74.6474465747	Sanger / Illumina 1.9	pass	warn	62-75	Conventional base calls	pass	pass	28695180.0	pass	fail	pass	51.0	53.4171671032	RD002_merge_R1.fastq.gz	pass	pass
RD002_merge_R2	pass	0.0	warn	74.5309849598	Sanger / Illumina 1.9	pass	warn	59-75	Conventional base calls	pass	warn	28695180.0	pass	fail	warn	53.0	64.3140293914	RD002_merge_R2.fastq.gz	pass	pass
RD003_merge_R1	pass	0.0	warn	74.6427058717	Sanger / Illumina 1.9	pass	warn	62-75	Conventional base calls	pass	pass	27220285.0	pass	fail	pass	50.0	55.4423542688	RD003_merge_R1.fastq.gz	pass	pass
RD003_merge_R2	pass	0.0	warn	74.5259058823	Sanger / Illumina 1.9	pass	warn	59-75	Conventional base calls	pass	warn	27220285.0	pass	fail	warn	52.0	62.9878298037	RD003_merge_R2.fastq.gz	pass	pass
RD004_merge_R1	pass	0.0	warn	74.6467962033	Sanger / Illumina 1.9	pass	warn	61-75	Conventional base calls	pass	pass	27499342.0	pass	fail	pass	51.0	53.6005967293	RD004_merge_R1.fastq.gz	pass	pass
RD004_merge_R2	pass	0.0	warn	74.5108328047	Sanger / Illumina 1.9	pass	warn	59-75	Conventional base calls	pass	pass	27499342.0	pass	fail	warn	51.0	55.3451702098	RD004_merge_R2.fastq.gz	pass	pass
RD005_merge_R1	pass	0.0	warn	74.6510171002	Sanger / Illumina 1.9	pass	warn	62-75	Conventional base calls	pass	pass	27251298.0	pass	fail	pass	51.0	53.5301007619	RD005_merge_R1.fastq.gz	pass	pass
RD005_merge_R2	pass	0.0	warn	74.5123932445	Sanger / Illumina 1.9	pass	warn	59-75	Conventional base calls	pass	warn	27251298.0	pass	fail	warn	52.0	56.6684822252	RD005_merge_R2.fastq.gz	pass	pass
