Sample	STAR_mqc-generalstats-uniquely_mapped	STAR_mqc-generalstats-uniquely_mapped_percent	Picard_mqc-generalstats-PERCENT_DUPLICATION	Rsem_mqc-generalstats-alignable_percent	RNA-SeQC_mqc-generalstats-Expression_Profiling_Efficiency	RNA-SeQC_mqc-generalstats-Genes_Detected	RNA-SeQC_mqc-generalstats-rRNA_rate	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
RD001	23833704.0	86.32	0.16938	93.0124515414								
RD001.Aligned.sortedByCoord					0.8613424	22296.0	0.0039851386					
RD001_merge_R1								9.09090909091	74.6466752116	46.0190739377	27612464.0	51.0
RD001_merge_R2								9.09090909091	74.5186357147	41.4295195802	27612464.0	52.0
RD002	24168558.0	84.23	0.163172	90.0960506046								
RD002.Aligned.sortedByCoord					0.8375605	22402.0	0.0033311169					
RD002_merge_R1								9.09090909091	74.6474465747	46.5828328968	28695180.0	51.0
RD002_merge_R2								9.09090909091	74.5309849598	35.6859706086	28695180.0	53.0
RD003	23007685.0	84.52	0.143176	90.283006874								
RD003.Aligned.sortedByCoord					0.8501582	21938.0	0.0032004258					
RD003_merge_R1								9.09090909091	74.6427058717	44.5576457312	27220285.0	50.0
RD003_merge_R2								9.09090909091	74.5259058823	37.0121701963	27220285.0	52.0
RD004	23700510.0	86.19	0.165109	92.5211136485								
RD004.Aligned.sortedByCoord					0.85812426	21982.0	0.002260945					
RD004_merge_R1								9.09090909091	74.6467962033	46.3994032707	27499342.0	51.0
RD004_merge_R2								9.09090909091	74.5108328047	44.6548297902	27499342.0	51.0
RD005	23366470.0	85.74	0.167139	91.6939538573								
RD005.Aligned.sortedByCoord					0.850019	21636.0	0.0032913112					
RD005_merge_R1								9.09090909091	74.6510171002	46.4698992381	27251298.0	51.0
RD005_merge_R2								9.09090909091	74.5123932445	43.3315177748	27251298.0	52.0
