Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
RD001_FR	RD001	254.0	135.0	135.0	37.0	2751109.0	353.82668	349.678365	25925873.0	FR	71.0	135.0	185.0	229.0	271.0	337.0	1191.0	2829.0	6715.0	12771.0	45657.0			
RD002_FR	RD002	241.0	127.0	127.0	34.0	2906466.0	335.540147	332.131969	26223972.0	FR	69.0	129.0	177.0	217.0	255.0	321.0	1207.0	2815.0	6599.0	12681.0	46949.0			
RD003_FR	RD003	248.0	127.0	133.0	33.0	3014491.0	346.979347	346.252717	24876174.0	FR	73.0	135.0	185.0	227.0	267.0	337.0	1251.0	2943.0	6897.0	13165.0	47565.0			
RD004_FR	RD004	247.0	130.0	131.0	36.0	3015448.0	343.981671	341.035081	25691631.0	FR	69.0	131.0	181.0	223.0	263.0	331.0	1215.0	2859.0	6795.0	13127.0	48855.0			
RD005_FR	RD005	251.0	124.0	135.0	35.0	2751052.0	354.066294	353.783591	25263760.0	FR	75.0	139.0	189.0	231.0	271.0	347.0	1273.0	2951.0	6881.0	13123.0	47169.0			
RD006_FR	RD006	241.0	124.0	127.0	33.0	2751033.0	334.142191	330.499119	33575138.0	FR	69.0	129.0	177.0	217.0	255.0	321.0	1203.0	2849.0	6753.0	12901.0	46421.0			
RD007_FR	RD007	242.0	124.0	128.0	31.0	2751134.0	336.052872	332.294463	23609423.0	FR	67.0	127.0	175.0	217.0	257.0	319.0	1153.0	2747.0	6567.0	12653.0	46661.0			
RD008_FR	RD008	245.0	124.0	131.0	29.0	2751087.0	344.540549	342.380867	27845594.0	FR	71.0	131.0	181.0	223.0	263.0	331.0	1199.0	2793.0	6603.0	12603.0	45773.0			
RD009_FR	RD009	264.0	124.0	148.0	35.0	2751001.0	385.457236	391.553685	27388485.0	FR	85.0	157.0	213.0	257.0	297.0	383.0	1299.0	2925.0	6779.0	12929.0	46533.0			
RD010_FR	RD010	257.0	124.0	146.0	33.0	2134359.0	372.154908	394.959889	26900460.0	FR	89.0	161.0	213.0	253.0	293.0	455.0	1643.0	3493.0	7907.0	14501.0	44717.0			
RD011_FR	RD011	224.0	124.0	107.0	33.0	2134636.0	279.139769	259.039067	27357980.0	FR	55.0	103.0	145.0	181.0	215.0	271.0	1209.0	3059.0	7215.0	13439.0	42387.0			
RD012_FR	RD012	282.0	124.0	169.0	35.0	2751122.0	429.678034	466.726498	25169176.0	FR	105.0	187.0	249.0	295.0	339.0	539.0	1797.0	3777.0	8351.0	15267.0	46445.0			
RD013_FR	RD013	211.0	124.0	94.0	33.0	2750929.0	251.240431	218.423943	32281009.0	FR	47.0	87.0	125.0	157.0	189.0	233.0	921.0	2807.0	6937.0	12903.0	41451.0			
RD014_FR	RD014	252.0	124.0	137.0	35.0	2069574.0	351.574892	364.635764	26670529.0	FR	81.0	147.0	197.0	237.0	275.0	423.0	1647.0	3503.0	7971.0	14677.0	45275.0			
RD015_FR	RD015	227.0	124.0	111.0	29.0	2751657.0	286.091747	271.35048	28693200.0	FR	59.0	111.0	153.0	189.0	223.0	283.0	1313.0	3199.0	7535.0	13827.0	43631.0			
RD016_FR	RD016	240.0	140.0	119.0	39.0	2304264.0	312.011533	299.556161	27527322.0	FR	61.0	115.0	159.0	199.0	239.0	311.0	1355.0	3241.0	7569.0	14187.0	45051.0			
RD017_FR	RD017	215.0	128.0	101.0	39.0	1422482.0	266.391497	243.319926	1384901.0	FR	51.0	95.0	133.0	169.0	203.0	259.0	1141.0	3005.0	7561.0	15373.0	182143.0			
RD018_FR	RD018	243.0	127.0	132.0	31.0	2751003.0	341.195877	344.685737	28039745.0	FR	69.0	129.0	179.0	223.0	265.0	333.0	1279.0	2937.0	6797.0	12621.0	43757.0			
RD019_FR	RD019	235.0	124.0	123.0	38.0	2751002.0	320.877775	318.62749	25511920.0	FR	67.0	123.0	169.0	209.0	247.0	313.0	1251.0	2945.0	6799.0	12687.0	43791.0			
RD020_FR	RD020	235.0	134.0	121.0	32.0	2867535.0	320.154091	314.132764	25477060.0	FR	63.0	117.0	161.0	201.0	243.0	309.0	1231.0	2875.0	6637.0	12393.0	43437.0			
RD021_FR	RD021	247.0	134.0	129.0	35.0	2750922.0	343.953241	338.16146	23968249.0	FR	67.0	125.0	175.0	217.0	259.0	327.0	1193.0	2753.0	6261.0	11633.0	41925.0			
