Module	Section	Sample Name	Source
FastQC	all_sections	RD005_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD005_merge_R1_fastqc.zip
FastQC	all_sections	RD019_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD019_merge_R1_fastqc.zip
FastQC	all_sections	RD019_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD019_merge_R2_fastqc.zip
FastQC	all_sections	RD005_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD005_merge_R2_fastqc.zip
FastQC	all_sections	RD008_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD008_merge_R2_fastqc.zip
FastQC	all_sections	RD008_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD008_merge_R1_fastqc.zip
FastQC	all_sections	RD004_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD004_merge_R2_fastqc.zip
FastQC	all_sections	RD002_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD002_merge_R1_fastqc.zip
FastQC	all_sections	RD002_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD002_merge_R2_fastqc.zip
FastQC	all_sections	RD004_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD004_merge_R1_fastqc.zip
FastQC	all_sections	RD011_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD011_merge_R1_fastqc.zip
FastQC	all_sections	RD011_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD011_merge_R2_fastqc.zip
FastQC	all_sections	RD009_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD009_merge_R1_fastqc.zip
FastQC	all_sections	RD014_merge_R2	/users/xli6/scripts/kp1/data_scratch/fastqc/RD014_merge_R2_fastqc.zip
FastQC	all_sections	RD014_merge_R1	/users/xli6/scripts/kp1/data_scratch/fastqc/RD014_merge_R1_fastqc.zip
