Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
RD001	86.32	13336642.0	118676.0	2.21	1.69	5.83	148.17	0.01	0.89	149.0	11969.0	13257149.0	13200377.0	23833704.0	62423.0	0	0.0	27612464.0	13811	0.01	0.05	7.58	2092169.0	5620.0	1610357	0.23
RD002	84.23	13596220.0	119265.0	2.2	1.64	8.29	148.01	0.0	1.1	149.0	11339.0	13501743.0	13460047.0	24168558.0	80197.0	0	0.0	28695180.0	14335	0.01	0.05	7.16	2055414.0	5569.0	2376676	0.28
RD003	84.52	13123044.0	117110.0	1.74	1.65	8.29	148.18	0.01	0.95	149.0	11569.0	13042208.0	12988948.0	23007685.0	73496.0	0	0.0	27220285.0	13613	0.0	0.05	6.86	1868489.0	5417.0	2257002	0.27
RD004	86.19	13613015.0	120702.0	2.29	1.62	6.22	148.24	0.01	0.76	149.0	11528.0	13509886.0	13475240.0	23700510.0	81703.0	0	0.0	27499342.0	16491	0.01	0.06	7.24	1991121.0	5545.0	1709517	0.3
RD005	85.74	13579686.0	125574.0	2.4	1.72	7.0	148.2	0.01	0.81	149.0	12133.0	13497349.0	13436454.0	23366470.0	64136.0	0	0.0	27251298.0	16346	0.01	0.06	6.96	1897290.0	5525.0	1907056	0.24
RD006	87.2	17798721.0	156975.0	2.28	1.65	5.28	148.22	0.01	0.77	149.0	15480.0	17690280.0	17618686.0	31021026.0	94859.0	0	0.0	35574945.0	24925	0.01	0.07	7.18	2554112.0	7580.0	1880023	0.27
RD007	83.09	12364041.0	111231.0	2.29	1.67	9.41	148.17	0.01	0.83	149.0	10669.0	12276610.0	12236982.0	21737834.0	73637.0	0	0.0	26162138.0	18305	0.01	0.07	7.15	1871589.0	5159.0	2460773	0.28
RD008	85.18	14846188.0	135008.0	2.32	1.71	7.31	148.14	0.01	0.87	149.0	13007.0	14756934.0	14692093.0	25677887.0	75946.0	0	0.0	30143999.0	18093	0.01	0.06	7.19	2167707.0	6080.0	2204366	0.25
RD009	87.16	15210131.0	145564.0	2.25	1.66	5.06	148.2	0.0	0.86	149.0	12995.0	15116261.0	15045088.0	25230932.0	75233.0	0	0.0	28947747.0	20250	0.01	0.07	7.45	2157553.0	6484.0	1463779	0.26
RD010	85.38	14657384.0	114899.0	2.58	1.74	5.97	148.12	0.0	0.88	149.0	9376.0	14573064.0	14529001.0	24496988.0	68298.0	0	0.0	28690917.0	11462	0.01	0.04	8.38	2403472.0	4108.0	1710697	0.24
RD011	81.12	12944890.0	96698.0	2.42	1.89	8.34	148.14	0.01	0.87	149.0	8718.0	12870972.0	12835660.0	24284068.0	73025.0	0	0.0	29937333.0	11963	0.01	0.04	10.27	3073912.0	3814.0	2494365	0.24
RD012	83.49	13839678.0	106257.0	2.76	1.77	8.03	148.09	0.0	0.85	149.0	9172.0	13753554.0	13720443.0	22916672.0	61202.0	0	0.0	27446911.0	10987	0.01	0.04	8.21	2252504.0	3806.0	2205546	0.22
RD013	81.5	14303976.0	107028.0	2.16	1.69	6.26	148.25	0.01	0.74	149.0	9437.0	14220196.0	14183495.0	28149946.0	84622.0	0	0.0	34540459.0	13808	0.01	0.04	11.96	4131063.0	4016.0	2161020	0.24
RD014	84.27	14189885.0	107469.0	2.46	1.61	6.77	148.18	0.0	0.8	149.0	9382.0	14102776.0	14069089.0	24175576.0	63768.0	0	0.0	28687143.0	11470	0.01	0.04	8.7	2494953.0	3945.0	1941376	0.22
RD015	84.02	13989338.0	103447.0	2.5	1.88	5.82	148.15	0.01	0.79	149.0	9151.0	13905796.0	13872681.0	25666293.0	65317.0	0	0.0	30547682.0	12213	0.01	0.04	9.91	3026907.0	4059.0	1776952	0.21
RD016	84.43	13412817.0	100721.0	2.35	1.67	5.28	148.21	0.01	0.78	149.0	8867.0	13333194.0	13298970.0	24614677.0	74203.0	0	0.0	29152351.0	11660	0.01	0.04	9.99	2912645.0	4259.0	1539166	0.25
RD017	20.49	639156.0	4444.0	2.16	1.67	77.08	147.6	0.01	1.1	149.0	374.0	635642.0	634162.0	1242033.0	3767.0	0	0.0	6060937.0	606	0.01	0.01	2.36	142868.0	176.0	4671663	0.06
RD018	87.65	14476462.0	100202.0	1.86	1.72	5.52	148.23	0.01	0.83	149.0	11845.0	14405770.0	14359306.0	26104864.0	92310.0	0	0.0	29784078.0	8930	0.01	0.03	6.5	1934881.0	5109.0	1643093	0.31
RD019	85.8	13098383.0	91858.0	1.76	1.67	6.97	148.22	0.01	0.87	149.0	11210.0	13033171.0	12990638.0	23625881.0	96996.0	0	0.0	27536123.0	8259	0.0	0.03	6.85	1886039.0	4677.0	1918948	0.35
RD020	86.14	12709564.0	91949.0	2.26	1.7	6.22	148.11	0.01	0.91	149.0	10216.0	12648300.0	12603103.0	23512631.0	111273.0	0	0.0	27295719.0	10910	0.01	0.04	7.2	1964429.0	4296.0	1696476	0.41
RD021	86.87	12013567.0	83566.0	2.33	1.74	6.25	148.11	0.01	0.89	149.0	8732.0	11958788.0	11917294.0	22309372.0	98534.0	0	0.0	25680061.0	7707	0.01	0.03	6.46	1658877.0	3975.0	1605571	0.38
