chrom	source	feature	pos1	pos2	strand	gene_id	gene_name	gene_type	all_padj	p1_padj	12w_padj
chr6	HAVANA	gene	92816478	92847174	+	ENSMUSG00000048636.7	RP24-193H8.2	protein_coding	9.14471439241267e-11	0.00066682686687804	3.67129598799e-14
chr6	HAVANA	gene	86386006	86397154	-	ENSMUSG00000029998.14	Pcyox1	protein_coding	9.14471595099401e-11	0.000106443196663127	4.8386442445186e-05
chr5	HAVANA	gene	114808196	114813976	-	ENSMUSG00000072694.7	RP23-3M10.10	protein_coding	1.61989630982172e-06	0.0246217624502042	0.00447815952983849
chr4	HAVANA	gene	73939371	73950846	-	ENSMUSG00000028396.5	RP23-292J1.4	protein_coding	3.8404530112399e-06	NA	NA
chr14	HAVANA	gene	26016431	26025837	+	ENSMUSG00000098428.6	Anxa11-ps1	unprocessed_pseudogene	0.000399205632390033	NA	0.958498055905155
chr9	HAVANA	gene	53850164	53854560	+	ENSMUSG00000042045.6	Sln	protein_coding	0.000430590214231531	NA	NA
chr2	HAVANA	gene	164777161	164779967	-	ENSMUSG00000017300.9	Tnnc2	protein_coding	0.000796709029105246	0.00994323681087267	NA
chr19	HAVANA	gene	42045610	42070953	+	ENSMUSG00000025176.14	Hoga1	protein_coding	0.001756327396186	0.082212173093128	0.333574431758933
chr8	HAVANA	gene	123891769	123894751	-	ENSMUSG00000031972.5	Acta1	protein_coding	0.0031185000942011	NA	NA
chr11	HAVANA	gene	67277124	67308634	+	ENSMUSG00000055775.16	Myh8	protein_coding	0.00535096362152115	NA	NA
chrX	HAVANA	gene	136214779	136226100	+	ENSMUSG00000079428.8	Tceal7	protein_coding	0.00535096420295824	NA	NA
chr15	HAVANA	gene	74834125	74841643	-	ENSMUSG00000075604.5	Cyp11b1	protein_coding	0.00535096520801197	0.038882658195779	NA
chrX	HAVANA	gene	166854211	166855011	+	ENSMUSG00000067147.7	Rpl7a-ps11	processed_pseudogene	0.00806086226632981	0.000203077902401382	NA
chr12	HAVANA	gene	103728156	103830373	-	ENSMUSG00000071178.11	Serpina1b	protein_coding	0.0106096616375653	NA	8.10364849248613e-05
